"ID","VALUE"
"ID_YES","是"
"ID_NO","没有"
"ID_THOUSANDS","千"
"ID_MILLIONS","百万"
"ID_BILLIONS","十亿"
"ID_TRILLIONS","万亿"
"ID_AA","a"
"ID_BB","b"
"ID_CC","c"
"ID_DD","d"
"ID_EE","e"
"ID_FF","f"
"ID_GG","g"
"ID_HH","h"
"ID_II","i"
"ID_JJ","j"
"ID_KK","k"
"ID_LL","l"
"ID_MM","m"
"ID_NN","n"
"ID_OO","o"
"ID_PP","p"
"ID_QQ","q"
"ID_RR","r"
"ID_SS","s"
"ID_TT","t"
"ID_UU","u"
"ID_VV","v"
"ID_WW","w"
"ID_XX","x"
"ID_YY","y"
"ID_ZZ","z"
"ID_COMEBACK","欢迎回来！"
"ID_U_ABSENT","你离开了"
"ID_U_OFFLINE_COLLECTED","在此期间您的物体赢得了"
"ID_GET","获取"
"ID_WATCH","观看广告"
"ID_TAB_RESEARCH","研究"
"ID_TAB_RESEARCH_FULL","研究"
"ID_TAB_RESEARCH_DESC","开始研究获得奖励"
"ID_TAB_UPGRADE","升级"
"ID_TAB_QUESTS","任务"
"ID_TAB_SHOP","商店"
"ID_TAB_TREE","树"
"ID_SETTINGS","设置"
"ID_LANGUAGE","语言"
"ID_LANGUAGE_TITLE","简体中文"
"ID_MUSIC","音乐"
"ID_SFX","声音"
"ID_PRIVACY_POLICY","隐私政策"
"ID_SEC","秒"
"ID_QUESTS","任务"
"ID_QUESTS_RENO_DESCR","完成 {0} 个任务让现代化成为可能"
"ID_Q_COLLECT_SOFT","收集 {0} 纯能量"
"ID_Q_COLLECT_INCOME","从物体收集收入 {0} 次"
"ID_Q_OPEN_CASES","打开 {0} 个箱子"
"ID_Q_USE_TBOOSTER","使用时间加速器"
"ID_Q_USE_TBOOSTER_CERTAIN","使用 {0} 小时时间加速器"
"ID_Q_OPEN_CASE_CERTAIN","打开 {0}"
"ID_Q_START_ECOBOOST","使用生态加速"
"ID_Q_UPGRADE_IOBJECT","升级 {0} (#{1}) 到级别 {2}"
"ID_Q_UPGRADE_PERS","升级任何角色"
"ID_Q_BUILD_IO","修建 {0} (#{1})"
"ID_Q_COLLECT_INCOME_CERTAIN","从物体 {0} 收集收入 {1} 次"
"ID_Q_COLLECT_SOFT_TOTAL","收集 {0} 纯能量"
"ID_Q_UPGTADE_PERS_CERTAIN","升级 {0}"
"ID_Q_COLLECT_AIRDROPS","领取飞艇奖励 {0} 次"
"ID_Q_LAUNCH_RESEARCH","开始研究 {0} 次"
"ID_Q_USE_COFFEE","使用咖啡加速器"
"ID_CASES_TITLE","箱子"
"ID_CASE_SIMPLE","简单箱子"
"ID_CASE_STEEL","钢铁箱子"
"ID_CASE_GOLD","黄金箱子"
