"ID","VALUE"
"ID_YES","Oui"
"ID_NO","Non"
"ID_THOUSANDS","K"
"ID_MILLIONS","mn"
"ID_BILLIONS","md"
"ID_TRILLIONS","tn"
"ID_AA","a"
"ID_BB","b"
"ID_CC","c"
"ID_DD","d"
"ID_EE","e"
"ID_FF","f"
"ID_GG","g"
"ID_HH","h"
"ID_II","i"
"ID_JJ","j"
"ID_KK","k"
"ID_LL","l"
"ID_MM","m"
"ID_NN","n"
"ID_OO","o"
"ID_PP","p"
"ID_QQ","q"
"ID_RR","r"
"ID_SS","s"
"ID_TT","t"
"ID_UU","u"
"ID_VV","v"
"ID_WW","w"
"ID_XX","x"
"ID_YY","y"
"ID_ZZ","z"
"ID_COMEBACK","Bon retour !"
"ID_U_ABSENT","Vous avez été absent pendant"
"ID_U_OFFLINE_COLLECTED","Pendant ce temps, vos objets ont rapporté"
"ID_GET","Obtenir"
"ID_WATCH","Regarder"
"ID_TAB_RESEARCH","Étude"
"ID_TAB_RESEARCH_FULL","Étude"
"ID_TAB_RESEARCH_DESC","Commencez la recherche pour obtenir des bonus"
"ID_TAB_UPGRADE","Améliorer"
"ID_TAB_QUESTS","Quêtes"
"ID_TAB_SHOP","Boutique"
"ID_TAB_TREE","Arbre"
"ID_SETTINGS","Paramètres"
"ID_LANGUAGE","Langue"
"ID_LANGUAGE_TITLE","Français"
"ID_MUSIC","Musique"
"ID_SFX","Sons"
"ID_PRIVACY_POLICY","Politique de confidentialité"
"ID_SEC","s"
"ID_QUESTS","Quêtes"
"ID_QUESTS_RENO_DESCR","Complétez {0} quêtes pour rendre la modernisation possible"
"ID_Q_COLLECT_SOFT","Collecter {0} énergie pure"
"ID_Q_COLLECT_INCOME","Récupérer les revenus des objets {0} fois"
"ID_Q_OPEN_CASES","Ouvrir {0} valise(s)"
"ID_Q_USE_TBOOSTER","Utiliser le booster de temps"
"ID_Q_USE_TBOOSTER_CERTAIN","Utiliser le booster de temps de {0} heures"
"ID_Q_OPEN_CASE_CERTAIN","Ouvrir {0}"
"ID_Q_START_ECOBOOST","Utiliser Écoboost"
"ID_Q_UPGRADE_IOBJECT","Améliorer {0} (№{1}) pour passer au niveau {2}"
"ID_Q_UPGRADE_PERS","Améliorer n'importe quel personnage"
"ID_Q_BUILD_IO","Construire le {0} (№{1})"
"ID_Q_COLLECT_INCOME_CERTAIN","Récupérer les revenus de l'objet {0} fois"
"ID_Q_COLLECT_SOFT_TOTAL","Collecter {0} d'énergie pure"
"ID_Q_UPGTADE_PERS_CERTAIN","Améliorer {0}"
"ID_Q_COLLECT_AIRDROPS","Récupérer les récompenses du ballon dirigeable {0} fois"
"ID_Q_LAUNCH_RESEARCH","Commencer la recherche {0} fois"
"ID_Q_USE_COFFEE","Utiliser Caféboost"
"ID_CASES_TITLE","VALISES"
"ID_CASE_SIMPLE","Valise ordinaire"
"ID_CASE_STEEL","Valise en acier"
"ID_CASE_GOLD","Valise en or"
"ID_GEMS_TITLE","GEMMES"
"ID_GEMS_PACK_1","Quelques gemmes"
"ID_GEMS_PACK_2","Poignée de gemmes"
"ID_GEMS_PACK_3","Sac de gemmes"
"ID_GEMS_PACK_4","Coffre de gemmes"
"ID_GEMS_PACK_5","Cargaison de gemmes"
"ID_GEMS_PACK_6","Montagnes de gemmes"
"ID_BOOSTERS_TITLE","BOOSTERS DE TEMPS"
"ID_BOOSTER_DESC_1","Remonter le temps de {0} heure"
"ID_BOOSTER_DESC_2","Remonter le temps {0} heures"
"ID_ECOBOOST_TITLE","Écoboost"
"ID_ECOBOOST_DESC","Multiplie x2 vos revenus pendant 4 heures. L'effet s'étend jusqu'à 12 heures."
"ID_COFFEE_BOOST","Caféboost"
"ID_COFFEE_POP_TITLE","Tasse de café"
"ID_COFFEE_POP_DESC","Tous les objets accélèrent de {0} s"
"ID_DRINK","Boire"
"ID_TIME","{0} h {1} min"
"ID_IO_TITLE_1","Nettoyeurs bénévoles"
"ID_IO_TITLE_2","Tracteur"
"ID_IO_TITLE_3","Filtre de rivière"
"ID_IO_TITLE_4","Séparateur"
"ID_IO_TITLE_5","Tri des ordures"
"ID_IO_TITLE_6","Forêt"
"ID_IO_TITLE_7","Four de fusion du verre"
"ID_IO_TITLE_8","Serre"
"ID_IO_TITLE_9","Presse à voiture"
"ID_IO_TITLE_10","Générateurs éoliens"
"ID_IO_TITLE_11","Rafraîchisseur d'air"
"ID_IO_TITLE_12","Réserve naturelle"
"ID_IO_TITLE_13","Broyeuse de caoutchouc"
"ID_IO_TITLE_14","Fonderie"
"ID_IO_TITLE_15","Imprimante 3D"
"ID_IO_TITLE_16","Garage Tesla"
"ID_IO_TITLE_17","Exploitation piscicole"
"ID_IO_TITLE_18","Bateau-poubelle"
"ID_IO_TITLE_19","Maternité pour poissons"
"ID_IO_TITLE_20","Récif artificiel"
"ID_IO_TITLE_21","Flotteur générateur d'électricité"
"ID_IO_TITLE_22","Parc"
"ID_IO_TITLE_23","Lac"
"ID_IO_TITLE_24","Forêt automnale"
"ID_IO_TITLE_25","Maison forestière"
"ID_IO_TITLE_26","Gare de monorail"
"ID_IO_TITLE_27","Île de glace"
"ID_IO_TITLE_28","Iceberg"
"ID_IO_DESC_1","La journée idéale pour faire du monde un endroit où il est plus agréable de vivre ! Commencez petit !
 Oh, vous avez oublié un emballage de bonbon. Là."
"ID_IO_DESC_2","L'équipement technique nous aidera à collecter les ordures beaucoup plus rapidement.
 Le tracteur est écologique, il fonctionne à l'aide de pédales."
"ID_IO_DESC_3","Grâce au nettoyage, les poissons de cette rivière n'ont plus de tentacules."
"ID_IO_DESC_4","Phase très importante du recyclage. Séparer les objets de valeur de ceux sans valeur.
 Ah ! Une pièce !"
"ID_IO_DESC_5","Verre - à part, papier - à part, plastique - à part."
"ID_IO_DESC_6","Un habitat pour les animaux, de l'oxygène pour les hommes."
"ID_IO_DESC_7","Nous faisons fondre le verre usagé pour obtenir du verre neuf. Nous pouvons le faire à l'infini."
"ID_IO_DESC_8","Cultiver des fruits et légumes frais toute l'année, à vos côtés."
"ID_IO_DESC_9","Transforme les voitures en cubes bien nets. Pourquoi ? Parce qu'elle le peut. Et aussi parce que cela facilite leur recyclage."
"ID_IO_DESC_10","Produit de l'électricité littéralement à partir de l'air !"
"ID_IO_DESC_11","Purifie l'air des impuretés nocives ! Ce n'est pas ce que vous pensiez."
"ID_IO_DESC_12","Les espèces menacées seront moins en danger."
"ID_IO_DESC_13","Vous pouvez faire un tas de choses utiles à partir de vieux pneus. Pas aussi amusant que de les brûler, mais c'est beaucoup plus pratique."
"ID_IO_DESC_14","Vous pouvez fabriquer une nouvelle poêle à partir de l'ancienne !"
"ID_IO_DESC_15","Le tas de plastique jeté n'est plus considéré comme des déchets, mais comme une ressource précieuse."
"ID_IO_DESC_16","Les voitures électriques sont le moyen de transport du futur !"
"ID_IO_DESC_17","Quand c'est bon pour les hommes, la vie marine et le climat."
"ID_IO_DESC_18","Le moyen le plus efficace de débarrasser les océans des déchets."
"ID_IO_DESC_19","La faune marine doit également être réhabilitée."
"ID_IO_DESC_20","Pour quoi faire ? Pour permettre aux nombreux habitants de la mer d'avoir un endroit où vivre et de la nourriture à manger !"
"ID_IO_DESC_21","Un projet simple de récupération de l'électricité directement à partir de l'énergie des vagues."
"ID_IO_DESC_22","Un coin de nature en plein centre-ville ! De l'air frais et beaucoup d'espace pour se promener avec ses animaux."
"ID_IO_DESC_23","Le lac est petit, mais la variété de la flore et de la faune qu'il abrite est impressionnante ! Vous voulez nourrir les cygnes ?"
"ID_IO_DESC_24","Les animaux de la forêt ont été sauvés de l'incendie, il est temps de ramasser des champignons pour l'hiver."
"ID_IO_DESC_25","La maison est équipée d'un paratonnerre, plus de risques d'incendie lors des orages."
"ID_IO_DESC_26","Le monorail est le moyen de transport le plus écologique, le plus spacieux et le plus rapide. Tournons la page des bus qui dégagent des fumées."
"ID_IO_DESC_27","Les ours ont de nouveau un endroit où vivre. Dites « NON » au réchauffement climatique !"
"ID_IO_DESC_28","Les icebergs ne fondent plus. Plus la superficie des glaciers en Antarctique est grande, plus la température reste stable dans le monde entier."
"ID_BUILD","Créer"
"ID_ERROR","Erreur"
"ID_ERROR_AD_DESC","Réessayer plus tard :("
"ID_OK","Ok"
"ID_DAILY_REWARDS_TITLE","Récompenses quotidiennes"
"ID_DAY","Jour"
"ID_R_U_SURE_EXIT","Vous voulez continuer à améliorer le monde dans la vraie vie ?"
"ID_GEMS","GEMMES"
"ID_CLEAN_ENERGY","Énergie pure"
"ID_PERS_CARD","Carte de personnel {0}"
"ID_RENOVATION","Modernisation"
"ID_RECONSTRUCTION_DESС","TOUS LES OBJETS seront détruits. Votre PERSONNEL restera avec vous. Le niveau du personnel sera SAUVEGARDÉ. L'efficacité de vos nouveaux objets sera DOUBLÉE !"
"ID_GO","OK"
"ID_LATER","Plus Tard"
"ID_GOOD","Parfait"
"ID_OPEN_NEXT","OUVRIR SUIVANTE"
"ID_YOUR_REWARD","Ta Récompense"
"ID_WATCH_AD","Regarder"
"ID_QUEST_COMPLETE","Mission terminée"
"ID_LEVEL_10","Niveau 10"
"ID_AUTOPLAY_ENABLED","Jeu automatique
 activé"
"ID_INCOME","Revenu"
"ID_TUTOR_STEP_1","Salut ! Débarrassons ensemble la planète des ordures et de la pollution ! Tapez sur cette zone pour la nettoyer."
"ID_TUTOR_STEP_2","Regardez comme elle est propre maintenant ! Les bénévoles se sont démenés. Grâce à eux, nous avons obtenu de l'énergie pure ! Tapez sur eux ou faites-les glisser pour la récupérer."
"ID_TUTOR_STEP_3","Les bénévoles travaillent bien, mais ils peuvent travailler encore mieux ! Ouvrons le menu Améliorer et augmentons leur niveau. Cliquez sur l'icône Améliorer."
