"ID","VALUE"
"ID_YES","Ja"
"ID_NO","Nein"
"ID_THOUSANDS","Tsd."
"ID_MILLIONS","Mio."
"ID_BILLIONS","Mrd."
"ID_TRILLIONS","Trill."
"ID_AA","a"
"ID_BB","b"
"ID_CC","c"
"ID_DD","d"
"ID_EE","e"
"ID_FF","f"
"ID_GG","g"
"ID_HH","h"
"ID_II","i"
"ID_JJ","j"
"ID_KK","k"
"ID_LL","l"
"ID_MM","m"
"ID_NN","n"
"ID_OO","o"
"ID_PP","p"
"ID_QQ","q"
"ID_RR","r"
"ID_SS","s"
"ID_TT","t"
"ID_UU","u"
"ID_VV","v"
"ID_WW","w"
"ID_XX","x"
"ID_YY","y"
"ID_ZZ","z"
"ID_COMEBACK","Willkommen zurück!"
"ID_U_ABSENT","Sie waren nicht online"
"ID_U_OFFLINE_COLLECTED","Sie waren nicht online"
"ID_GET","Erhalten"
"ID_WATCH","Beobachten"
"ID_TAB_RESEARCH","Forschung"
"ID_TAB_RESEARCH_FULL","Forschung"
"ID_TAB_RESEARCH_DESC","Fang mit der Forschung an, um die Boni zu erhalten"
"ID_TAB_UPGRADE","Aufrüsten"
"ID_TAB_QUESTS","Missionen"
"ID_TAB_SHOP","Geschäft"
"ID_TAB_TREE","Baum"
"ID_SETTINGS","Einstellungen"
"ID_LANGUAGE","Sprache"
"ID_LANGUAGE_TITLE","Deutsch"
"ID_MUSIC","Musik"
"ID_SFX","SFX"
"ID_PRIVACY_POLICY","Datenschutzrichtlinie"
"ID_SEC","Sek."
"ID_QUESTS","Missionen"
"ID_QUESTS_RENO_DESCR","Erledige {0} Missionen, um die Modernisierung verfügbar zu machen"
"ID_Q_COLLECT_SOFT","{0} saubere Energie einsammeln"
"ID_Q_COLLECT_INCOME","Einnahmen von den Objekte {0} Mal einsammeln"
"ID_Q_OPEN_CASES","{0} Kisten öffnen"
"ID_Q_USE_TBOOSTER","Zeitbeschleuniger benutzen"
"ID_Q_USE_TBOOSTER_CERTAIN","Zeitbeschleuniger für {0} Stunden benutzen"
"ID_Q_OPEN_CASE_CERTAIN","{0} öffnen"
"ID_Q_START_ECOBOOST","Öko-Schub benutzen"
"ID_Q_UPGRADE_IOBJECT","{0} (#{1}) auf Stufe {2} aufrüsten"
"ID_Q_UPGRADE_PERS","Einen beliebigen Charakter verbessern"
"ID_Q_BUILD_IO","{0} (#{1}) errichten"
"ID_Q_COLLECT_INCOME_CERTAIN","Einnahmen von der Anlage {0} {1} Mal einsammeln"
"ID_Q_COLLECT_SOFT_TOTAL","{0} saubere Energie einsammeln"
"ID_Q_UPGTADE_PERS_CERTAIN","{0} aufrüsten"
"ID_Q_COLLECT_AIRDROPS","Luftschiffbelohnung {0} Mal einsammeln"
"ID_Q_LAUNCH_RESEARCH","Forschung {0} Mal starten"
"ID_Q_USE_COFFEE","Kaffee-Boost benutzen"
"ID_CASES_TITLE","Kisten"
"ID_CASE_SIMPLE","Kiste"
"ID_CASE_STEEL","Stahlkiste"
"ID_CASE_GOLD","Goldkiste"
"ID_GEMS_TITLE","Edelsteine"
"ID_GEMS_PACK_1","wenige Edelsteine"
"ID_GEMS_PACK_2","Handvoll Edelsteine"
"ID_GEMS_PACK_3","Edelsteintasche"
"ID_GEMS_PACK_4","Edelsteinkiste"
"ID_GEMS_PACK_5","Laster voller Edelsteine"
"ID_GEMS_PACK_6","Berg aus Edelsteinen"
"ID_BOOSTERS_TITLE","Zeitbeschleuniger"
"ID_BOOSTER_DESC_1","Zeit um {0} Stunde zurückspülen"
"ID_BOOSTER_DESC_2","Zeit um {0} Stunden zurückspülen"
"ID_ECOBOOST_TITLE","Öko-Schub"
"ID_ECOBOOST_DESC","Erhöhnt die Einnahmen x2 für 4 Stunden. Die Wirkung reicht für 12 Stunden."
"ID_COFFEE_BOOST","Kaffee-Boost"
"ID_COFFEE_POP_TITLE","Tasse Kaffee"
"ID_COFFEE_POP_DESC","Alle Objekte beschleunigen um {0} Sek"
"ID_DRINK","Trinken"
"ID_TIME","{0}Std. {1}Min."
"ID_IO_TITLE_1","Müllsammler"
"ID_IO_TITLE_2","Traktor"
"ID_IO_TITLE_3","Flussfilter"
"ID_IO_TITLE_4","Separator"
"ID_IO_TITLE_5","Mülltrennung"
"ID_IO_TITLE_6","Wald"
"ID_IO_TITLE_7","Glasschmelzer"
"ID_IO_TITLE_8","Gewächshaus"
"ID_IO_TITLE_9","Schrotpresse"
"ID_IO_TITLE_10","Windkraftanlagen"
"ID_IO_TITLE_11","Luftverbesserer"
"ID_IO_TITLE_12","Naturschutzgebiet"
"ID_IO_TITLE_13","Gummischleifmaschine"
"ID_IO_TITLE_14","Schmelzanlage"
"ID_IO_TITLE_15","3D-Drucker"
"ID_IO_TITLE_16","Tesla-Garage"
"ID_IO_TITLE_17","Meeresfarm"
"ID_IO_TITLE_18","Schwimmender Reiniger"
"ID_IO_TITLE_19","Fischgeburtshaus"
"ID_IO_TITLE_20","Künstliches Riff"
"ID_IO_TITLE_21","Elektrischer Schwimmer"
"ID_IO_TITLE_22","Park"
"ID_IO_TITLE_23","See"
"ID_IO_TITLE_24","Herbstwald"
"ID_IO_TITLE_25","Försterhaus"
"ID_IO_TITLE_26","Einschienenbahnstation"
"ID_IO_TITLE_27","Eisinsel"
"ID_IO_TITLE_28","Eisberg"
