"ID","VALUE"
"ID_YES","हाँ"
"ID_NO","नहीं"
"ID_THOUSANDS","K"
"ID_MILLIONS","mn."
"ID_BILLIONS","bn."
"ID_TRILLIONS","tn."
"ID_AA","a"
"ID_BB","b"
"ID_CC","c"
"ID_DD","d"
"ID_EE","e"
"ID_FF","f"
"ID_GG","g"
"ID_HH","h"
"ID_II","i"
"ID_JJ","j"
"ID_KK","k"
"ID_LL","l"
"ID_MM","m"
"ID_NN","n"
"ID_OO","o"
"ID_PP","p"
"ID_QQ","q"
"ID_RR","r"
"ID_SS","s"
"ID_TT","t"
"ID_UU","u"
"ID_VV","v"
"ID_WW","w"
"ID_XX","x"
"ID_YY","y"
"ID_ZZ","z"
"ID_COMEBACK","आपका स्वागत है!"
"ID_U_ABSENT","आप इतने समय से दूर थे"
"ID_U_OFFLINE_COLLECTED","इस समय के दौरान आपके द्वारा अर्जित ऑब्जेक्ट"
"ID_GET","प्राप्त करें"
"ID_WATCH","विज्ञापन देखें"
"ID_TAB_RESEARCH","शोध"
"ID_TAB_RESEARCH_FULL","शोध"
"ID_TAB_RESEARCH_DESC","बोनस प्राप्त करने के लिए शोध शुरू करें"
"ID_TAB_UPGRADE","अपग्रेड करें"
"ID_TAB_QUESTS","क्वेस्ट"
"ID_TAB_SHOP","शॉप"
"ID_TAB_TREE","वृक्ष"
"ID_SETTINGS","सेटिंग"
"ID_LANGUAGE","भाषा"
"ID_LANGUAGE_TITLE","हिंदी"
"ID_MUSIC","म्यूजिक"
"ID_SFX","साउंड"
"ID_PRIVACY_POLICY","गोपनीयता नीति"
"ID_SEC","सेकंड"
"ID_QUESTS","क्वेस्ट"
"ID_QUESTS_RENO_DESCR","आधुनिकीकरण को संभव बनाने के लिए {0} क्वेस्ट पूरे करें"
"ID_Q_COLLECT_SOFT","{0} शुद्ध ऊर्जा एकत्र करें"
"ID_Q_COLLECT_INCOME","{0} बार ऑब्जेक्ट से आय एकत्र करें"
"ID_Q_OPEN_CASES","{0} संदूक खोलें"
"ID_Q_USE_TBOOSTER","टाइम बूस्टर का इस्तेमाल करें"
"ID_Q_USE_TBOOSTER_CERTAIN","{0} घंटों का टाइम बूस्टर इस्तेमाल करें"
"ID_Q_OPEN_CASE_CERTAIN","{0} खोलें"
"ID_Q_START_ECOBOOST","इकोबूस्ट का इस्तेमाल करें"
"ID_Q_UPGRADE_IOBJECT","{0} को अपग्रेड करें ((#{1}) से लेवल {2}"
"ID_Q_UPGRADE_PERS","कोई भी किरदार अपग्रेड करें"
"ID_Q_BUILD_IO","{0} (#{1}) बनाएं"
"ID_Q_COLLECT_INCOME_CERTAIN","ऑब्जेक्ट {0} से {1} बार आय एकत्र करें"
"ID_Q_COLLECT_SOFT_TOTAL","{0} शुद्ध ऊर्जा एकत्र करें"
"ID_Q_UPGTADE_PERS_CERTAIN","{0} को अपग्रेड करें"
"ID_Q_COLLECT_AIRDROPS","{0} बार एयरशिप इनाम एकत्र करें"
"ID_Q_LAUNCH_RESEARCH","{0} बार शोध शुरू करें"
"ID_Q_USE_COFFEE","कॉफ़ीबूस्ट का इस्तेमाल करें"
"ID_CASES_TITLE","संदूक"
"ID_CASE_SIMPLE","सामान्य संदूक"
"ID_CASE_STEEL","स्टील का संदूक"
"ID_CASE_GOLD","सोने का संदूक"
"ID_GEMS_TITLE","रत्न"
"ID_GEMS_PACK_1","कुछ रत्न"
"ID_GEMS_PACK_2","मुट्ठी भर रत्न"
"ID_GEMS_PACK_3","रत्नों का थैला"
"ID_GEMS_PACK_4","रत्नों का संदूक"
"ID_GEMS_PACK_5","रत्नों का ट्रक"
"ID_GEMS_PACK_6","रत्नों का पहाड़"
"ID_BOOSTERS_TITLE","टाइम बूस्टर"
"ID_BOOSTER_DESC_1","{0} घंटे के लिए टाइम रिवाइंड करें"
"ID_BOOSTER_DESC_2","{0} घंटों के लिए टाइम रिवाइंड करें"
"ID_ECOBOOST_TITLE","इकोबूस्ट"
"ID_ECOBOOST_DESC","4 घंटों के लिए आय बढ़ाता है। यह प्रभाव 12 घंटों तक रहेगा।"
"ID_COFFEE_BOOST","कॉफ़ीबूस्ट"
"ID_COFFEE_POP_TITLE","कॉफ़ी का कप"
"ID_COFFEE_POP_DESC","सभी ऑब्जेक्ट {0} सेकंड के लिए तेज हो जाते हैं"
"ID_DRINK","ड्रिंक"
"ID_TIME","{0}h. {1}min."
"ID_IO_TITLE_1","स्वयंसेवक सफाईकर्मी"
"ID_IO_TITLE_2","ट्रैक्टर"
"ID_IO_TITLE_3","नदी का फिल्टर"
"ID_IO_TITLE_4","विभाजक"
"ID_IO_TITLE_5","कचरा छांटना"
"ID_IO_TITLE_6","जंगल"
"ID_IO_TITLE_7","ग्लास गलाने वाला"
"ID_IO_TITLE_8","ग्रीन हाउस"
"ID_IO_TITLE_9","कार प्रेस"
"ID_IO_TITLE_10","पवन जनरेटर"
"ID_IO_TITLE_11","एयर फ्रेशनर"
"ID_IO_TITLE_12","नेचर रिज़र्व"
"ID_IO_TITLE_13","रबर ग्राइंडर"
"ID_IO_TITLE_14","स्मेल्टिंग प्लांट"
"ID_IO_TITLE_15","3डी प्रिंटर"
"ID_IO_TITLE_16","टेस्ला गैरेज"
"ID_IO_TITLE_17","समुद्री खेत"
"ID_IO_TITLE_18","फ्लोटिंग क्लीनर"
"ID_IO_TITLE_19","मत्स्य-प्रसूति गृह"
"ID_IO_TITLE_20","कृत्रिम रीफ"
"ID_IO_TITLE_21","इलेक्ट्रिक बॉबर"
"ID_IO_TITLE_22","पार्क"
"ID_IO_TITLE_23","झील"
"ID_IO_TITLE_24","पतझड़ का जंगल"
"ID_IO_TITLE_25","वनपाल का घर"
"ID_IO_TITLE_26","मोनोरेल स्टेशन"
"ID_IO_TITLE_27","आइस द्वीप"
"ID_IO_TITLE_28","हिमशैल"
"ID_IO_DESC_1","दुनिया को एक बेहतर जगह बनाने के लिए कितना अच्छा दिन है! छोटी शुरुआत करें!
 ओह, आपने वहां कैंडी का रेपर छोड़ दिया।"
"ID_IO_DESC_2","तकनीकी उपकरण तेजी से कचरा इकट्ठा करने में हमारी मदद करेंगे।
 ट्रैक्टर इको-फ्रेंडली है, इसमें पैडल हैं।"
