"ID","VALUE"
"ID_YES","Iya"
"ID_NO","Tidak"
"ID_THOUSANDS","K"
"ID_MILLIONS","jt."
"ID_BILLIONS","m"
"ID_TRILLIONS","t"
"ID_AA","a"
"ID_BB","b"
"ID_CC","c"
"ID_DD","d"
"ID_EE","e"
"ID_FF","f"
"ID_GG","g"
"ID_HH","h"
"ID_II","i"
"ID_JJ","j"
"ID_KK","k"
"ID_LL","l"
"ID_MM","m"
"ID_NN","n"
"ID_OO","o"
"ID_PP","p"
"ID_QQ","q"
"ID_RR","r"
"ID_SS","s"
"ID_TT","t"
"ID_UU","u"
"ID_VV","v"
"ID_WW","w"
"ID_XX","x"
"ID_YY","y"
"ID_ZZ","z"
"ID_COMEBACK","Selamat datang!"
"ID_U_ABSENT","Kau pergi selama"
"ID_U_OFFLINE_COLLECTED","Selama itu, objekmu mendapatkan"
"ID_GET","Dapatkan"
"ID_WATCH","Tonton"
"ID_TAB_RESEARCH","Riset"
"ID_TAB_RESEARCH_FULL","Riset"
"ID_TAB_RESEARCH_DESC","Mulai riset untuk mendapatkan bonus"
"ID_TAB_UPGRADE","Upgrade"
"ID_TAB_QUESTS","Tugas"
"ID_TAB_SHOP","Toko"
"ID_TAB_TREE","Diagram"
"ID_SETTINGS","Pengaturan"
"ID_LANGUAGE","Bahasa"
"ID_LANGUAGE_TITLE","Bahasa Indonesia"
"ID_MUSIC","Musik"
"ID_SFX","Suara"
"ID_PRIVACY_POLICY","Kebijakan Privasi"
"ID_SEC","dtk"
"ID_QUESTS","Tugas"
"ID_QUESTS_RENO_DESCR","Selesaikan {0} tugas agar dapat melakukan modernisasi"
"ID_Q_COLLECT_SOFT","Kumpulkan {0} energi murni"
"ID_Q_COLLECT_INCOME","Kumpulkan penghasilan dari objek {0} kali"
"ID_Q_OPEN_CASES","Buka {0} peti"
"ID_Q_USE_TBOOSTER","Gunakan pendorong waktu"
"ID_Q_USE_TBOOSTER_CERTAIN","Gunakan pendorong waktu {0} jam"
"ID_Q_OPEN_CASE_CERTAIN","Buka {0}"
"ID_Q_START_ECOBOOST","Gunakan Pendorong Eco"
"ID_Q_UPGRADE_IOBJECT","Upgrade {0} (#{1}) ke level {2}"
"ID_Q_UPGRADE_PERS","Upgrade semua karakter"
"ID_Q_BUILD_IO","Bangun {0} (#{1})"
"ID_Q_COLLECT_INCOME_CERTAIN","Kumpulkan penghasilan dari objek {0} {1} kali"
"ID_Q_COLLECT_SOFT_TOTAL","Kumpulkan {0} energi murni"
"ID_Q_UPGTADE_PERS_CERTAIN","Upgrade {0}"
