"ID","VALUE"
"ID_YES","Sì"
"ID_NO","No"
"ID_THOUSANDS","K"
"ID_MILLIONS","mln"
"ID_BILLIONS","mld"
"ID_TRILLIONS","trl"
"ID_AA","a"
"ID_BB","b"
"ID_CC","c"
"ID_DD","d"
"ID_EE","e"
"ID_FF","f"
"ID_GG","g"
"ID_HH","h"
"ID_II","i"
"ID_JJ","j"
"ID_KK","k"
"ID_LL","l"
"ID_MM","m"
"ID_NN","n"
"ID_OO","o"
"ID_PP","p"
"ID_QQ","q"
"ID_RR","r"
"ID_SS","s"
"ID_TT","t"
"ID_UU","u"
"ID_VV","v"
"ID_WW","w"
"ID_XX","x"
"ID_YY","y"
"ID_ZZ","z"
"ID_COMEBACK","Bentornato/a!"
"ID_U_ABSENT","Non ci vediamo da"
"ID_U_OFFLINE_COLLECTED","In questo periodo i tuoi oggetti hanno guadagnato"
"ID_GET","Ottieni"
"ID_WATCH","Guarda"
"ID_TAB_RESEARCH","Ricerca"
"ID_TAB_RESEARCH_FULL","Ricerca"
"ID_TAB_RESEARCH_DESC","Inizia la ricerca per ottenere bonus"
"ID_TAB_UPGRADE","Upgrade"
"ID_TAB_QUESTS","Spediz."
"ID_TAB_SHOP","Negozio"
"ID_TAB_TREE","Albero"
"ID_SETTINGS","Impostazioni"
"ID_LANGUAGE","Lingua"
"ID_LANGUAGE_TITLE","Italiano"
"ID_MUSIC","Musica"
"ID_SFX","Suoni"
"ID_PRIVACY_POLICY","Informativa sulla privacy"
"ID_SEC","s"
"ID_QUESTS","Spediz."
"ID_QUESTS_RENO_DESCR","Completa {0} spedizioni per rendere possibile la modernizzazione"
"ID_Q_COLLECT_SOFT","Raccogli {0} unità di eco-energia"
"ID_Q_COLLECT_INCOME","Guadagna dagli oggetti {0} per volte"
"ID_Q_OPEN_CASES","Apri {0} contenitore/i"
"ID_Q_USE_TBOOSTER","Usa il potenziamento Tempo"
"ID_Q_USE_TBOOSTER_CERTAIN","Usa il potenziamento Tempo per {0} ore"
"ID_Q_OPEN_CASE_CERTAIN","Apri {0}"
"ID_Q_START_ECOBOOST","Usa l'Ecopotenziamento"
"ID_Q_UPGRADE_IOBJECT","Aggiorna {0} ({1}) al livello {2}"
"ID_Q_UPGRADE_PERS","Aggiorna qualsiasi personaggio"
"ID_Q_BUILD_IO","Crea l'oggetto {0} ({1})"
"ID_Q_COLLECT_INCOME_CERTAIN","Guadagna dall'oggetto {0} per {1} volte"
"ID_Q_COLLECT_SOFT_TOTAL","Raccogli {0} unità di eco-energia"
"ID_Q_UPGTADE_PERS_CERTAIN","Aggiorna {0}"
"ID_Q_COLLECT_AIRDROPS","Ottieni la ricompensa del dirigibile per {0} volte"
"ID_Q_LAUNCH_RESEARCH","Inizia la ricerca per {0} volte"
"ID_Q_USE_COFFEE","Usa il Caffèpotenziamento"
"ID_CASES_TITLE","CONTENITORI"
"ID_CASE_SIMPLE","Contenitore semplice"
"ID_CASE_STEEL","Contenitore d'acciaio"
"ID_CASE_GOLD","Contenitore d'oro"
"ID_GEMS_TITLE","GEMME"
"ID_GEMS_PACK_1","Poche gemme"
"ID_GEMS_PACK_2","Manciata di gemme"
"ID_GEMS_PACK_3","Sacchetto di gemme"
"ID_GEMS_PACK_4","Forziere di gemme"
"ID_GEMS_PACK_5","Camion di gemme"
"ID_GEMS_PACK_6","Montagna di gemme"
"ID_BOOSTERS_TITLE","POTENZIAMENTO TEMPO"
"ID_BOOSTER_DESC_1","Indietro nel tempo per {0} ora"
"ID_BOOSTER_DESC_2","Indietro nel tempo per {0} ore"
"ID_ECOBOOST_TITLE","Ecopotenziamento"
"ID_ECOBOOST_DESC","Raddoppia i guadagni per 4 ore. L'effetto si estende a 12 ore."
"ID_COFFEE_BOOST","Caffèpotenziamento"
"ID_COFFEE_POP_TITLE","Tazza di caffè"
"ID_COFFEE_POP_DESC","Tutti gli oggetti accelerano per {0} s"
"ID_DRINK","Bevi"
"ID_TIME","{0} h {1} min"
"ID_IO_TITLE_1","Pulitori volontari"
"ID_IO_TITLE_2","Trattore"
"ID_IO_TITLE_3","Filtro fluviale"
"ID_IO_TITLE_4","Separatore"
"ID_IO_TITLE_5","Raccolta differenziata"
"ID_IO_TITLE_6","Foresta"
"ID_IO_TITLE_7","Fusore di vetro"
"ID_IO_TITLE_8","Serra"
"ID_IO_TITLE_9","Pressa per auto"
"ID_IO_TITLE_10","Generatori eolici"
"ID_IO_TITLE_11","Rinfresca-ambienti"
"ID_IO_TITLE_12","Riserva naturale"
"ID_IO_TITLE_13","Tritagomma"
"ID_IO_TITLE_14","Fonderia"
"ID_IO_TITLE_15","Stampante 3D"
"ID_IO_TITLE_16","Officina Tesla"
"ID_IO_TITLE_17","Allevamento ittico"
"ID_IO_TITLE_18","Pulitore galleggiante"
"ID_IO_TITLE_19","Vivaio di pesci"
"ID_IO_TITLE_20","Scogliera artificiale"
"ID_IO_TITLE_21","Boa elettrica"
"ID_IO_TITLE_22","Parco"
"ID_IO_TITLE_23","Lago"
"ID_IO_TITLE_24","Foresta autunnale"
"ID_IO_TITLE_25","Casa del guardaboschi"
"ID_IO_TITLE_26","Stazione della monorotaia"
"ID_IO_TITLE_27","Isola di ghiaccio"
"ID_IO_TITLE_28","Iceberg"
"ID_IO_DESC_1","È la giornata perfetta per migliorare il mondo! Iniziamo dalle piccole cose!
 Oh, hai perso la carta delle caramelle. Ecco."
"ID_IO_DESC_2","Le attrezzature tecnologiche ci aiuteranno a raccogliere i rifiuti più velocemente.
 Il trattore è ecologico: è a pedali."
"ID_IO_DESC_3","Grazie alla pulizia i pesci di questo fiume non hanno più i tentacoli."
"ID_IO_DESC_4","Una fase molto importante del riciclo: separare le cose di valore da quelle inutili.
 Oh! Una moneta!"
"ID_IO_DESC_5","Vetro da una parte, carta dall'altra, plastica dall'altra."
