"ID","VALUE"
"ID_YES","はい"
"ID_NO","番号"
"ID_THOUSANDS","K"
"ID_MILLIONS","mn."
"ID_BILLIONS","bn."
"ID_TRILLIONS","tn."
"ID_AA","a"
"ID_BB","b"
"ID_CC","c"
"ID_DD","d"
"ID_EE","e"
"ID_FF","f"
"ID_GG","g"
"ID_HH","h"
"ID_II","i"
"ID_JJ","j"
"ID_KK","k"
"ID_LL","l"
"ID_MM","m"
"ID_NN","n"
"ID_OO","o"
"ID_PP","p"
"ID_QQ","q"
"ID_RR","r"
"ID_SS","s"
"ID_TT","t"
"ID_UU","u"
"ID_VV","v"
"ID_WW","w"
"ID_XX","x"
"ID_YY","y"
"ID_ZZ","z"
"ID_COMEBACK","おかえり！"
"ID_U_ABSENT","いなかった時間："
"ID_U_OFFLINE_COLLECTED","いない間に獲得したオブジェクト"
"ID_GET","ゲット"
"ID_WATCH","広告を視聴"
"ID_TAB_RESEARCH","研究する"
"ID_TAB_RESEARCH_FULL","研究する"
"ID_TAB_RESEARCH_DESC","研究を開始してボーナスを受け取る"
"ID_TAB_UPGRADE","アップグレード"
"ID_TAB_QUESTS","クエスト"
"ID_TAB_SHOP","ショップ"
"ID_TAB_TREE","ツリー"
"ID_SETTINGS","設定"
"ID_LANGUAGE","言語"
"ID_LANGUAGE_TITLE","日本語"
"ID_MUSIC","音楽"
"ID_SFX","サウンド"
"ID_PRIVACY_POLICY","プライバシーポリシー"
"ID_SEC","秒"
"ID_QUESTS","クエスト"
"ID_QUESTS_RENO_DESCR","現代化を実現するために{0}個のクエストを完了する"
"ID_Q_COLLECT_SOFT","{0}個のピュアエネルギーを集める"
"ID_Q_COLLECT_INCOME","オブジェクトから{0}回収入を集める"
"ID_Q_OPEN_CASES","{0}個のケースを開く"
"ID_Q_USE_TBOOSTER","タイムブースターを使う"
"ID_Q_USE_TBOOSTER_CERTAIN","{0}時間タイムブースターを使う"
"ID_Q_OPEN_CASE_CERTAIN","{0}を開く"
"ID_Q_START_ECOBOOST","エコブースターを使う"
"ID_Q_UPGRADE_IOBJECT","{0} (#{1}) をレベル (#{2}) にアップグレードする"
"ID_Q_UPGRADE_PERS","キャラをアップグレードする"
"ID_Q_BUILD_IO","{0} (#{1})を作る"
