"ID","VALUE"
"ID_YES","예"
"ID_NO","아니"
"ID_THOUSANDS","천"
"ID_MILLIONS","백만"
"ID_BILLIONS","십억"
"ID_TRILLIONS","조"
"ID_AA","a"
"ID_BB","b"
"ID_CC","c"
"ID_DD","d"
"ID_EE","e"
"ID_FF","f"
"ID_GG","g"
"ID_HH","h"
"ID_II","i"
"ID_JJ","j"
"ID_KK","k"
"ID_LL","l"
"ID_MM","m"
"ID_NN","n"
"ID_OO","o"
"ID_PP","p"
"ID_QQ","q"
"ID_RR","r"
"ID_SS","s"
"ID_TT","t"
"ID_UU","u"
"ID_VV","v"
"ID_WW","w"
"ID_XX","x"
"ID_YY","y"
"ID_ZZ","z"
"ID_COMEBACK","돌아오신 걸 환영해요!"
"ID_U_ABSENT","해당 시간동안 자리를 비우셨습니다:"
"ID_U_OFFLINE_COLLECTED","해당 시간동안 객체에서 얻은 것:"
"ID_GET","얻기"
"ID_WATCH","광고 보기"
"ID_TAB_RESEARCH","연구"
"ID_TAB_RESEARCH_FULL","연구"
"ID_TAB_RESEARCH_DESC","연구를 시작하고 보너스를 받으세요"
"ID_TAB_UPGRADE","업그레이드"
"ID_TAB_QUESTS","퀘스트"
"ID_TAB_SHOP","상점"
"ID_TAB_TREE","트리"
"ID_SETTINGS","설정"
"ID_LANGUAGE","언어"
"ID_LANGUAGE_TITLE","한국어"
"ID_MUSIC","음악"
"ID_SFX","소리"
"ID_PRIVACY_POLICY","개인정보 보호 정책"
"ID_SEC","초"
"ID_QUESTS","퀘스트"
"ID_QUESTS_RENO_DESCR","현대화를 하려면 퀘스트를 {0}개 완료하세요"
"ID_Q_COLLECT_SOFT","친환경 에너지를 {0}개 수집하세요"
"ID_Q_COLLECT_INCOME","객체에서 {0}회 수입을 올리세요"
"ID_Q_OPEN_CASES","케이스를 {0}개 여세요"
"ID_Q_USE_TBOOSTER","시간 부스터를 쓰세요"
"ID_Q_USE_TBOOSTER_CERTAIN","{0}시간 시간 부스터를 쓰세요"
"ID_Q_OPEN_CASE_CERTAIN","{0}를 여세요"
"ID_Q_START_ECOBOOST","친환경 부스터를 쓰세요"
"ID_Q_UPGRADE_IOBJECT","{0} (#{1})를 {2}로 업그레이드 하세요"
"ID_Q_UPGRADE_PERS","아무 캐릭터나 업그레이드하세요"
"ID_Q_BUILD_IO","{0} (#{1})를 지으세요"
"ID_Q_COLLECT_INCOME_CERTAIN","객체 {0}에서 {1}회 수입을 올리세요"
"ID_Q_COLLECT_SOFT_TOTAL","친환경 에너지를 {0}개 수집하세요"
"ID_Q_UPGTADE_PERS_CERTAIN","{0} 업그레이드"
"ID_Q_COLLECT_AIRDROPS","비행선 보상을 {0}회 받으세요"
"ID_Q_LAUNCH_RESEARCH","연구를 {0}회 시작하세요"
"ID_Q_USE_COFFEE","커피 부스터를 사용하세요"
"ID_CASES_TITLE","케이스"
"ID_CASE_SIMPLE","평범한 케이스"
"ID_CASE_STEEL","철제 케이스"
"ID_CASE_GOLD","황금 케이스"
"ID_GEMS_TITLE","보석"
"ID_GEMS_PACK_1","약간의 보석"
"ID_GEMS_PACK_2","보석 한 움큼"
"ID_GEMS_PACK_3","보석 주머니"
"ID_GEMS_PACK_4","보석 상자"
"ID_GEMS_PACK_5","보석 트럭"
