"ID","VALUE"
"ID_YES","Iya"
"ID_NO","Tidak"
"ID_THOUSANDS","K"
"ID_MILLIONS","mn."
"ID_BILLIONS","bn."
"ID_TRILLIONS","tn."
"ID_AA","a"
"ID_BB","b"
"ID_CC","c"
"ID_DD","d"
"ID_EE","e"
"ID_FF","f"
"ID_GG","g"
"ID_HH","h"
"ID_II","i"
"ID_JJ","j"
"ID_KK","k"
"ID_LL","l"
"ID_MM","m"
"ID_NN","n"
"ID_OO","o"
"ID_PP","p"
"ID_QQ","q"
"ID_RR","r"
"ID_SS","s"
"ID_TT","t"
"ID_UU","u"
"ID_VV","v"
"ID_WW","w"
"ID_XX","x"
"ID_YY","y"
"ID_ZZ","z"
"ID_COMEBACK","Selamat kembali!"
"ID_U_ABSENT","Anda tidak bermain selama"
"ID_U_OFFLINE_COLLECTED","Objek yang anda peroleh sepanjang masa ini"
"ID_GET","Dapatkan"
"ID_WATCH","Tonton"
"ID_TAB_RESEARCH","Kajian"
"ID_TAB_RESEARCH_FULL","Kajian"
"ID_TAB_RESEARCH_DESC","Mulakan penyelidikan untuk mendapatkan bonus"
"ID_TAB_UPGRADE","Tatar"
"ID_TAB_QUESTS","Pncarian"
"ID_TAB_SHOP","Kedai"
"ID_TAB_TREE","Pokok"
"ID_SETTINGS","Tetapan"
"ID_LANGUAGE","Bahasa"
"ID_LANGUAGE_TITLE","Melayu"
"ID_MUSIC","Muzik"
"ID_SFX","Bunyi"
"ID_PRIVACY_POLICY","Dasar Privasi"
"ID_SEC","saat"
"ID_QUESTS","Pncarian"
"ID_QUESTS_RENO_DESCR","Selesaikan {0} pencarian untuk membolehkan pemodenan"
"ID_Q_COLLECT_SOFT","Kumpul {0} tenaga tulen"
"ID_Q_COLLECT_INCOME","Kumpulkan pendapatan dari objek {0} kali"
"ID_Q_OPEN_CASES","Buka {0} bekas"
"ID_Q_USE_TBOOSTER","Guna penggalak masa"
"ID_Q_USE_TBOOSTER_CERTAIN","Guna penggalak masa {0} jam"
"ID_Q_OPEN_CASE_CERTAIN","Buka {0}"
"ID_Q_START_ECOBOOST","Guna Penggalak Eko"
"ID_Q_UPGRADE_IOBJECT","Naik taraf {0} (#{1}) ke tahap {2}"
"ID_Q_UPGRADE_PERS","Naik taraf mana-mana watak"
"ID_Q_BUILD_IO","Bina {0} (#{1})"
"ID_Q_COLLECT_INCOME_CERTAIN","Kumpulkan pendapatan dari objek {0} {1} kali"
"ID_Q_COLLECT_SOFT_TOTAL","Kumpul {0} tenaga tulen"
"ID_Q_UPGTADE_PERS_CERTAIN","Naik taraf {0}"
