"ID","VALUE"
"ID_YES","Tak"
"ID_NO","Nie"
"ID_THOUSANDS","K"
"ID_MILLIONS","mn."
"ID_BILLIONS","bn."
"ID_TRILLIONS","tn."
"ID_AA","a"
"ID_BB","b"
"ID_CC","c"
"ID_DD","d"
"ID_EE","e"
"ID_FF","f"
"ID_GG","g"
"ID_HH","h"
"ID_II","i"
"ID_JJ","j"
"ID_KK","k"
"ID_LL","l"
"ID_MM","m"
"ID_NN","n"
"ID_OO","o"
"ID_PP","p"
"ID_QQ","q"
"ID_RR","r"
"ID_SS","s"
"ID_TT","t"
"ID_UU","u"
"ID_VV","v"
"ID_WW","w"
"ID_XX","x"
"ID_YY","y"
"ID_ZZ","z"
"ID_COMEBACK","Witaj z powrotem!"
"ID_U_ABSENT","Nie było Cię"
"ID_U_OFFLINE_COLLECTED","W tym czasie Twoje obiekty zarobiły"
"ID_GET","Weź"
"ID_WATCH","Obejrzyj"
"ID_TAB_RESEARCH","Badania"
"ID_TAB_RESEARCH_FULL","Badania"
"ID_TAB_RESEARCH_DESC","Rozpocznij badania, aby otrzymać premie"
"ID_TAB_UPGRADE","Ulepsz"
"ID_TAB_QUESTS","Zadania"
"ID_TAB_SHOP","Sklep"
"ID_TAB_TREE","Drzewo"
"ID_SETTINGS","Ustawienia"
"ID_LANGUAGE","Język"
"ID_LANGUAGE_TITLE","Polski"
"ID_MUSIC","Muzyka"
"ID_SFX","Dźwięki"
"ID_PRIVACY_POLICY","Zasady prywatności"
"ID_SEC","s"
"ID_QUESTS","Zadania"
"ID_QUESTS_RENO_DESCR","Wykonaj {0} zadań, aby umożliwić modernizację"
"ID_Q_COLLECT_SOFT","Uzbieraj {0} czystej energii"
"ID_Q_COLLECT_INCOME","Zbierz przychody z obiektów {0} razy"
"ID_Q_OPEN_CASES","Otwórz {0} walizkę (walizki)"
"ID_Q_USE_TBOOSTER","Użyj dopalacza czasu"
"ID_Q_USE_TBOOSTER_CERTAIN","Użyj {0} godzin dopalacza czasu"
