"ID","VALUE"
"ID_YES","Sim"
"ID_NO","Não"
"ID_THOUSANDS","K"
"ID_MILLIONS","Mi"
"ID_BILLIONS","Bi"
"ID_TRILLIONS","Tri"
"ID_AA","a"
"ID_BB","b"
"ID_CC","c"
"ID_DD","d"
"ID_EE","e"
"ID_FF","f"
"ID_GG","g"
"ID_HH","h"
"ID_II","i"
"ID_JJ","j"
"ID_KK","k"
"ID_LL","l"
"ID_MM","m"
"ID_NN","n"
"ID_OO","o"
"ID_PP","p"
"ID_QQ","q"
"ID_RR","r"
"ID_SS","s"
"ID_TT","t"
"ID_UU","u"
"ID_VV","v"
"ID_WW","w"
"ID_XX","x"
"ID_YY","y"
"ID_ZZ","z"
"ID_COMEBACK","Bem-vindo de volta!"
"ID_U_ABSENT","Estiveste ausente por"
"ID_U_OFFLINE_COLLECTED","Durante este tempo os teus objetos ganharam"
"ID_GET","Obter"
"ID_WATCH","Ver"
"ID_TAB_RESEARCH","Pesquisa"
"ID_TAB_RESEARCH_FULL","Pesquisa"
"ID_TAB_RESEARCH_DESC","Iniciar pesquisas para obter bónus"
"ID_TAB_UPGRADE","Upgrade"
"ID_TAB_QUESTS","Missões"
"ID_TAB_SHOP","Loja"
"ID_TAB_TREE","Árvore"
"ID_SETTINGS","Definições"
"ID_LANGUAGE","Idioma"
"ID_LANGUAGE_TITLE","Português (Europa)"
"ID_MUSIC","Música"
"ID_SFX","Áudio"
"ID_PRIVACY_POLICY","Política de privacidade"
"ID_SEC","seg"
"ID_QUESTS","Missões"
"ID_QUESTS_RENO_DESCR","Completa {0} missões para executares a modernização"
"ID_Q_COLLECT_SOFT","Recolhe {0} de energia pura"
"ID_Q_COLLECT_INCOME","Recolhe rendimento dos objetos {0} vezes"
"ID_Q_OPEN_CASES","Abre {0} maleta(s)"
"ID_Q_USE_TBOOSTER","Utiliza o booster de tempo"
"ID_Q_USE_TBOOSTER_CERTAIN","Utiliza {0} horas de booster de tempo"
"ID_Q_OPEN_CASE_CERTAIN","Abre {0}"
"ID_Q_START_ECOBOOST","Utiliza o Ecoboost"
"ID_Q_UPGRADE_IOBJECT","Atualiza de {0} (#{1}) para o nível {2}"
"ID_Q_UPGRADE_PERS","Atualiza qualquer personagem"
"ID_Q_BUILD_IO","Constrói o {0} (#{1})"
"ID_Q_COLLECT_INCOME_CERTAIN","Recolhe rendimento do objeto {0} {1} vez(es)"
"ID_Q_COLLECT_SOFT_TOTAL","Recolhe {0} de energia pura"
"ID_Q_UPGTADE_PERS_CERTAIN","Atualiza {0}"
"ID_Q_COLLECT_AIRDROPS","Recolhe a recompensa de zepelim {0} vezes"
"ID_Q_LAUNCH_RESEARCH","Inicia a pesquisa {0} vezes"
"ID_Q_USE_COFFEE","Utiliza o Coffeeboost"
"ID_CASES_TITLE","MALETAS"
"ID_CASE_SIMPLE","Maleta simples"
"ID_CASE_STEEL","Maleta de aço"
"ID_CASE_GOLD","Maleta de ouro"
"ID_GEMS_TITLE","GEMAS"
"ID_GEMS_PACK_1","Poucas gemas"
"ID_GEMS_PACK_2","Punhado de gemas"
"ID_GEMS_PACK_3","Saco de gemas"
"ID_GEMS_PACK_4","Baú de gemas"
"ID_GEMS_PACK_5","Camião de gemas"
"ID_GEMS_PACK_6","Montanha de gemas"
"ID_BOOSTERS_TITLE","BOOSTERS DE TEMPO"
"ID_BOOSTER_DESC_1","Retrocede o tempo por {0} h"
"ID_BOOSTER_DESC_2","Retrocede o tempo por {0} h"
"ID_ECOBOOST_TITLE","Ecoboost"
"ID_ECOBOOST_DESC","Aumenta o rendimento 2x por 4 horas. O efeito estende-se por 12 horas."
"ID_COFFEE_BOOST","Coffeeboost"
"ID_COFFEE_POP_TITLE","Chávena de café"
"ID_COFFEE_POP_DESC","Todos os objetos aceleram por {0} seg"
"ID_DRINK","Beber"
"ID_TIME","{0}h {1}min"
"ID_IO_TITLE_1","Empregadas de limpeza voluntárias"
"ID_IO_TITLE_2","Trator"
"ID_IO_TITLE_3","Filtro fluvial"
"ID_IO_TITLE_4","Separador"
"ID_IO_TITLE_5","Triagem de lixo"
"ID_IO_TITLE_6","Floresta"
"ID_IO_TITLE_7","Fundição de vidro"
"ID_IO_TITLE_8","Estufa"
"ID_IO_TITLE_9","Prensa de carros"
"ID_IO_TITLE_10","Geradores eólicos"
"ID_IO_TITLE_11","Purificador de ar"
"ID_IO_TITLE_12","Reserva natural"
"ID_IO_TITLE_13","Triturador de borracha"
"ID_IO_TITLE_14","Fábrica de fundição"
"ID_IO_TITLE_15","Impressora 3D"
"ID_IO_TITLE_16","Oficina Tesla"
"ID_IO_TITLE_17","Quinta marinha"
"ID_IO_TITLE_18","Limpador flutuante"
"ID_IO_TITLE_19","Maternidade de peixes"
"ID_IO_TITLE_20","Recife artificial"
"ID_IO_TITLE_21","Boia elétrica"
"ID_IO_TITLE_22","Parque"
"ID_IO_TITLE_23","Lago"
"ID_IO_TITLE_24","Floresta de outono"
"ID_IO_TITLE_25","Casa do guarda-florestal"
"ID_IO_TITLE_26","Estação monocarril"
"ID_IO_TITLE_27","Ilha de gelo"
"ID_IO_TITLE_28","Icebergue"
"ID_IO_DESC_1","Que dia perfeito para fazer do mundo um lugar melhor! Começa devagar!
 Perdeste perdeu um papel de doce. Ali."
"ID_IO_DESC_2","Os equipamentos tecnológicos vão ajudar-nos a recolher o lixo muito mais rápido.
 O trator ecológico funciona com pedais."
"ID_IO_DESC_3","Graças à limpeza, os peixes neste rio não têm mais tentáculos."
"ID_IO_DESC_4","Fase muito importante da reciclagem. Separar coisas valiosas das inúteis.
 Ah, não! Uma moeda!"
"ID_IO_DESC_5","Vidro — separado, papel — separado, plástico — separado."
"ID_IO_DESC_6","Lar para animais, oxigénio para as pessoas."
"ID_IO_DESC_7","Estamos a derreter vidro velho para fabricar vidro novo. Podemos refazer isso infinitamente."
"ID_IO_DESC_8","A cultivar frutas e legumes frescos o ano todo, mesmo ao teu lado."
"ID_IO_DESC_9","Transforma carros em cubos direitinhos. Sabes porquê? Porque sim. E também porque torna o seu processo de reciclagem muito mais fácil."
"ID_IO_DESC_10","Gera eletricidade literalmente do ar!"
"ID_IO_DESC_11","Purifica o ar de impurezas prejudiciais! Não é o que pensavas."
"ID_IO_DESC_12","As espécies em vias de extinção estarão mais protegidas"
"ID_IO_DESC_13","Dá para fazer um monte de coisas úteis com pneus velhos. Não tão divertido quanto queimá-los, mas muito mais prático."
"ID_IO_DESC_14","Podes fazer uma frigideira nova da tua antiga!"
"ID_IO_DESC_15","A pilha de plástico descartado deixa de ser lixo e torna-se um recurso valioso."
"ID_IO_DESC_16","Os carros elétricos são o transporte do futuro!"
"ID_IO_DESC_17","Quando é bom para as pessoas, para a vida marinha e para o clima."
"ID_IO_DESC_18","A maneira mais eficaz de limpar o lixo dos oceanos."
"ID_IO_DESC_19","A fauna marinha também precisa de ser restaurada."
"ID_IO_DESC_20","Para quê? Para que muitos seres marinhos tenham um lugar para viver e o que comer!"
"ID_IO_DESC_21","Um esquema simples da extração de eletricidade diretamente das ondas do mar."
"ID_IO_DESC_22","Um pedacinho de natureza bem no centro da cidade! Ar fresco e muito espaço para caminhares com os animais de estimação."
"ID_IO_DESC_23","O lago é pequeno, mas a variedade de flora e fauna é enorme! Queres alimentar os cisnes?"
"ID_IO_DESC_24","Os animais da floresta estão salvos do fogo, está na hora de recolher cogumelos para o inverno."
"ID_IO_DESC_25","A casa está equipada com um para-raios, então não tem mais incêndios durante tempestades."
"ID_IO_DESC_26","O monocarril é o transporte mais ecológico, espaçoso e rápido. Vamos deixar os autocarros fumacentos no passado."
"ID_IO_DESC_27","Os ursos têm um lar de novo. Diz ""NÃO!"" ao aquecimento global!"
"ID_IO_DESC_28","Os icebergues não derretem mais. Quanto maior a área de glaciares na Antártida, mais estável é a temperatura em todo o mundo."
"ID_BUILD","Criar"
"ID_ERROR","Erro"
"ID_ERROR_AD_DESC","Tenta novamente mais tarde :("
"ID_OK","ОK"
"ID_DAILY_REWARDS_TITLE","Recompensas diárias"
"ID_DAY","Dia"
"ID_R_U_SURE_EXIT","Queres continuar a melhorar o mundo na vida real?"
"ID_GEMS","GEMAS"
"ID_CLEAN_ENERGY","Energia pura"
