"ID","VALUE"
"ID_YES","Да"
"ID_NO","Нет"
"ID_THOUSANDS","тыс."
"ID_MILLIONS","млн."
"ID_BILLIONS","млрд."
"ID_TRILLIONS","трлн."
"ID_AA","a"
"ID_BB","b"
"ID_CC","c"
"ID_DD","d"
"ID_EE","e"
"ID_FF","f"
"ID_GG","g"
"ID_HH","h"
"ID_II","i"
"ID_JJ","j"
"ID_KK","k"
"ID_LL","l"
"ID_MM","m"
"ID_NN","n"
"ID_OO","o"
"ID_PP","p"
"ID_QQ","q"
"ID_RR","r"
"ID_SS","s"
"ID_TT","t"
"ID_UU","u"
"ID_VV","v"
"ID_WW","w"
"ID_XX","x"
"ID_YY","y"
"ID_ZZ","z"
"ID_COMEBACK","С возвращением!"
"ID_U_ABSENT","Вы отсутствовали"
"ID_U_OFFLINE_COLLECTED","За это время объекты заработали"
"ID_GET","Получить"
"ID_WATCH","Смотреть"
"ID_TAB_RESEARCH","Исслед-я"
"ID_TAB_RESEARCH_FULL","Исследования"
"ID_TAB_RESEARCH_DESC","Запускай исследования, чтобы получить бонусы"
"ID_TAB_UPGRADE","Апгрейд"
"ID_TAB_QUESTS","Миссии"
"ID_TAB_SHOP","Магазин"
"ID_TAB_TREE","Древо"
"ID_SETTINGS","Настройки"
"ID_LANGUAGE","Язык"
"ID_LANGUAGE_TITLE","Русский"
"ID_MUSIC","Музыка"
"ID_SFX","Звуки"
"ID_PRIVACY_POLICY","Политика конфид."
"ID_SEC","сек"
"ID_QUESTS","Миссии"
"ID_QUESTS_RENO_DESCR","Выполнить {0} заданий для возможности модернизации объектов"
"ID_Q_COLLECT_SOFT","Собрать {0} чистой энергии"
"ID_Q_COLLECT_INCOME","Собрать доход с объектов {0} раз"
"ID_Q_OPEN_CASES","Открыть {0} кейс(а)"
"ID_Q_USE_TBOOSTER","Использовать ускоритель времени"
"ID_Q_USE_TBOOSTER_CERTAIN","Использовать ускоритель времени на {0} часов"
"ID_Q_OPEN_CASE_CERTAIN","Открыть {0}"
"ID_Q_START_ECOBOOST","Использовать Экобуст"
"ID_Q_UPGRADE_IOBJECT","Прокачать {0} (#{1}) до уровня {2}"
"ID_Q_UPGRADE_PERS","Прокачать персонал"
"ID_Q_BUILD_IO","Построить {0} (#{1})"
"ID_Q_COLLECT_INCOME_CERTAIN","Собрать доход с объекта {0} {1} раз"
"ID_Q_COLLECT_SOFT_TOTAL","Накопить {0} чистой энергии"
"ID_Q_UPGTADE_PERS_CERTAIN","Прокачать {0}"
"ID_Q_COLLECT_AIRDROPS","Собрать награду с дирижабля {0} раз"
"ID_Q_LAUNCH_RESEARCH","Начать исследование {0} раз"
"ID_Q_USE_COFFEE","Использовать Кофебуст"
"ID_CASES_TITLE","КЕЙСЫ"
"ID_CASE_SIMPLE","Обычный кейс"
"ID_CASE_STEEL","Стальной кейс"
"ID_CASE_GOLD","Золотой кейс"
"ID_GEMS_TITLE","САМОЦВЕТЫ"
"ID_GEMS_PACK_1","Несколько самоцветов"
"ID_GEMS_PACK_2","Кучка самоцветов"
"ID_GEMS_PACK_3","Мешок самоцветов"
"ID_GEMS_PACK_4","Сундук самоцветов"
"ID_GEMS_PACK_5","Самосвал самоцветов"
"ID_GEMS_PACK_6","Гора самоцветов"
"ID_BOOSTERS_TITLE","УСКОРИТЕЛИ"
"ID_BOOSTER_DESC_1","Перемотать время на {0} час"
"ID_BOOSTER_DESC_2","Перемотать время на {0} часа"
"ID_ECOBOOST_TITLE","Экобуст"
"ID_ECOBOOST_DESC","Увеличивает доход x2 на 4 часа. Эффект складывается до 12 часов"
"ID_COFFEE_BOOST","Кофебуст"
"ID_COFFEE_POP_TITLE","Чашечка кофе"
"ID_COFFEE_POP_DESC","Скорость всех объектов на {0} сек"
"ID_DRINK","Выпить"
"ID_TIME","{0}ч. {1}мин."
"ID_IO_TITLE_1","Little Italy"
"ID_IO_TITLE_2","Yakuza"
"ID_IO_TITLE_3","Russian Bratva"
"ID_IO_TITLE_4","The Hills"
"ID_IO_TITLE_5","Sin City Centre"
"ID_IO_TITLE_6","Silicon Valley"
"ID_IO_TITLE_7","Little Swiss"
"ID_IO_TITLE_8","Wild West"
"ID_IO_TITLE_9","The Red Light"
"ID_IO_TITLE_10","China Town"
"ID_IO_TITLE_11","No Mans Land"
"ID_IO_TITLE_12","Financial District"
"ID_IO_TITLE_13","Fashion District"
"ID_IO_TITLE_14","The Cartel"
"ID_IO_TITLE_15","The Strip"
"ID_IO_TITLE_16","Favelas"
"ID_IO_TITLE_17","The Harbour"
"ID_IO_TITLE_18","Плавучий уборщик"
"ID_IO_TITLE_19","Рыбо-родильный дом"
"ID_IO_TITLE_20","Искусственный риф"
"ID_IO_TITLE_21","Электропоплавок"
"ID_IO_TITLE_22","Парк"
"ID_IO_TITLE_23","Озеро"
"ID_IO_TITLE_24","Осенний лес"
"ID_IO_TITLE_25","Дом лесничего"
"ID_IO_TITLE_26","Монорельсовая станция"
"ID_IO_TITLE_27","Ледяной остров"
"ID_IO_TITLE_28","Айсберг"
"ID_IO_DESC_1","Прекрасный день, чтобы сделать мир лучше! Начни с малого! 
Ой, ты вон там бумажку пропустил"
"ID_IO_DESC_2","Техника поможет нам собирать мусор гораздо быстрее.
Трактор экологичный, педальный."
"ID_IO_DESC_3","Благодаря очистке рыба в этой реке теперь без щупалец."
"ID_IO_DESC_4","Очень важный этап в переработке мусора. Отделяет полезное от бесполезного.
О, монетка!"
"ID_IO_DESC_5","Стекло отдельно, бумага отдельно, пластик отдельно."
"ID_IO_DESC_6","Животным — дом, людям — кислород."
"ID_IO_DESC_7","Мы плавим старое стекло, чтобы получать новое стекло. Причем можем делать это сколько угодно."
"ID_IO_DESC_8","Выращиваем свежие фрукты и овощи круглый год прям под боком."
"ID_IO_DESC_9","Превращает машины в аккуратные кубики. Почему? Потому что может. Ну и так их проще перерабатывать."
"ID_IO_DESC_10","Создает электричество буквально из воздуха!"
"ID_IO_DESC_11","Очищает воздух от вредных примесей! А не то, что вы подумали."
"ID_IO_DESC_12","Вымирающие виды станут менее вымирающими."
"ID_IO_DESC_13","Из старых шин можно сделать кучу полезных вещей. Не так весело, как сжигать их, но гораздо практичнее."
"ID_IO_DESC_14","Из твоей старой сковородки можно сделать новую!"
"ID_IO_DESC_15","Гора выброшенного пластика теперь не мусор, а ценный ресурс."
"ID_IO_DESC_16","Электромобили – это транспорт будущего!"
"ID_IO_DESC_17","Когда хорошо и людям, и морской живности, и климату."
"ID_IO_DESC_18","Самый эффективный способ очистить океаны от мусора."
"ID_IO_DESC_19","Морская фауна также нуждается в восстановлении."
"ID_IO_DESC_20","Как зачем? Чтобы у многих морских обитателей было где жить и чем питаться!"
"ID_IO_DESC_21","Простая схема добычи электричества прямо из морской волны."
"ID_IO_DESC_22","Кусочек природы прямо в центре города! Свежий воздух и куча места для прогулок с питомцами."
