"ID","VALUE"
"ID_YES","Si"
"ID_NO","No"
"ID_THOUSANDS","K"
"ID_MILLIONS","mn."
"ID_BILLIONS","bn."
"ID_TRILLIONS","ton"
"ID_AA","a"
"ID_BB","b"
"ID_CC","c"
"ID_DD","d"
"ID_EE","e"
"ID_FF","f"
"ID_GG","g"
"ID_HH","h"
"ID_II","i"
"ID_JJ","j"
"ID_KK","k"
"ID_LL","l"
"ID_MM","m"
"ID_NN","n"
"ID_OO","o"
"ID_PP","p"
"ID_QQ","q"
"ID_RR","r"
"ID_SS","s"
"ID_TT","t"
"ID_UU","u"
"ID_VV","v"
"ID_WW","w"
"ID_XX","x"
"ID_YY","y"
"ID_ZZ","z"
"ID_COMEBACK","¡Qué alegría volver a verte!"
"ID_U_ABSENT","Estuviste ausente por"
"ID_U_OFFLINE_COLLECTED","Durante este tiempo, ganaste estos objetos"
"ID_GET","Obtener"
"ID_WATCH","Ver"
"ID_TAB_RESEARCH","Estudio"
"ID_TAB_RESEARCH_FULL","Estudio"
"ID_TAB_RESEARCH_DESC","Comienza el estudio para obtener bonificaciones"
"ID_TAB_UPGRADE","Mejorar"
"ID_TAB_QUESTS","Tareas"
"ID_TAB_SHOP","Tienda"
"ID_TAB_TREE","Árbol"
"ID_SETTINGS","Configuración"
"ID_LANGUAGE","Idioma"
"ID_LANGUAGE_TITLE","Español (América Latina)"
"ID_MUSIC","Música"
"ID_SFX","Sonidos"
"ID_PRIVACY_POLICY","Política de Privacidad"
"ID_SEC","s"
"ID_QUESTS","Tareas"
"ID_QUESTS_RENO_DESCR","Completa {0} tareas para que la modernización sea posible"
"ID_Q_COLLECT_SOFT","Recoge {0} de energía pura"
"ID_Q_COLLECT_INCOME","Recoger ingresos de los objetos {0} veces"
"ID_Q_OPEN_CASES","Abre {0} maleta(s)"
"ID_Q_USE_TBOOSTER","Usa el potenciador de tiempo"
"ID_Q_USE_TBOOSTER_CERTAIN","Usa el potenciador de tiempo por {0} horas"
"ID_Q_OPEN_CASE_CERTAIN","Abrir {0}"
"ID_Q_START_ECOBOOST","Usa Ecopotenciador"
"ID_Q_UPGRADE_IOBJECT","Mejora {0} (n.º {1}) al nivel {2}"
"ID_Q_UPGRADE_PERS","Mejorar cualquier personaje"
