"ID","VALUE"
"ID_YES","Sí"
"ID_NO","No"
"ID_THOUSANDS","K"
"ID_MILLIONS","mn."
"ID_BILLIONS","bn."
"ID_TRILLIONS","tn."
"ID_AA","a"
"ID_BB","b"
"ID_CC","c"
"ID_DD","d"
"ID_EE","e"
"ID_FF","f"
"ID_GG","g"
"ID_HH","h"
"ID_II","i"
"ID_JJ","j"
"ID_KK","k"
"ID_LL","l"
"ID_MM","m"
"ID_NN","n"
"ID_OO","o"
"ID_PP","p"
"ID_QQ","q"
"ID_RR","r"
"ID_SS","s"
"ID_TT","t"
"ID_UU","u"
"ID_VV","v"
"ID_WW","w"
"ID_XX","x"
"ID_YY","y"
"ID_ZZ","z"
"ID_COMEBACK","Bienvenido de vuelta!"
"ID_U_ABSENT","Estuviste fuera por"
"ID_U_OFFLINE_COLLECTED","Durante ese tiempo, tus objeto ganaron"
"ID_GET","Conseguir"
"ID_WATCH","Mirar AD"
"ID_TAB_RESEARCH","Investigación"
"ID_TAB_RESEARCH_FULL","Investigación"
"ID_TAB_RESEARCH_DESC","Comenzar la investigación para conseguir recompensas"
"ID_TAB_UPGRADE","Mejora"
"ID_TAB_QUESTS","Misiones"
"ID_TAB_SHOP","Tienda"
"ID_TAB_TREE","Árbol"
"ID_SETTINGS","Configuración"
"ID_LANGUAGE","Idioma"
"ID_LANGUAGE_TITLE","Español"
"ID_MUSIC","Música"
"ID_SFX","SFX"
"ID_PRIVACY_POLICY","Política de privacidad"
"ID_SEC","seg"
"ID_QUESTS","Misiones"
"ID_QUESTS_RENO_DESCR","Completa {0} misiones para hacer posible la modernización"
"ID_Q_COLLECT_SOFT","Recolecta {0} de energía pura"
"ID_Q_COLLECT_INCOME","Recolecta los ingresos de las objeto {0} veces"
"ID_Q_OPEN_CASES","Abre {0} maletin(es)"
"ID_Q_USE_TBOOSTER","Usa el acelerador temporal"
"ID_Q_USE_TBOOSTER_CERTAIN","Usa {0} horas el acelerador temporal"
"ID_Q_OPEN_CASE_CERTAIN","Abrir {0}"
"ID_Q_START_ECOBOOST","Usar ecoimpulso"
