"ID","VALUE"
"ID_YES","是"
"ID_NO","沒有"
"ID_THOUSANDS","千"
"ID_MILLIONS","百萬"
"ID_BILLIONS","萬億"
"ID_TRILLIONS","兆"
"ID_AA","a"
"ID_BB","b"
"ID_CC","c"
"ID_DD","d"
"ID_EE","e"
"ID_FF","f"
"ID_GG","g"
"ID_HH","h"
"ID_II","i"
"ID_JJ","j"
"ID_KK","k"
"ID_LL","l"
"ID_MM","m"
"ID_NN","n"
"ID_OO","o"
"ID_PP","p"
"ID_QQ","q"
"ID_RR","r"
"ID_SS","s"
"ID_TT","t"
"ID_UU","u"
"ID_VV","v"
"ID_WW","w"
"ID_XX","x"
"ID_YY","y"
"ID_ZZ","z"
"ID_COMEBACK","歡迎回來"
"ID_U_ABSENT","你離開了"
"ID_U_OFFLINE_COLLECTED","在此期間，你的物品獲得了"
"ID_GET","獲取"
"ID_WATCH","觀看廣告"
"ID_TAB_RESEARCH","研究"
"ID_TAB_RESEARCH_FULL","研究"
"ID_TAB_RESEARCH_DESC","開始一項研究來得到獎勵"
"ID_TAB_UPGRADE","升級"
"ID_TAB_QUESTS","任務任務"
"ID_TAB_SHOP","商店"
"ID_TAB_TREE","科技樹"
"ID_SETTINGS","設置"
"ID_LANGUAGE","語言"
"ID_LANGUAGE_TITLE","繁體中文"
"ID_MUSIC","音樂"
"ID_SFX","音效"
"ID_PRIVACY_POLICY","隱私條例"
"ID_SEC","秒"
"ID_QUESTS","任務任務"
"ID_QUESTS_RENO_DESCR","完成{0}個任務后便可進行現代化"
"ID_Q_COLLECT_SOFT","收穫{0}單位純能量"
"ID_Q_COLLECT_INCOME","從物品處收穫{0}次收入"
"ID_Q_OPEN_CASES","打開{0}個箱子"
"ID_Q_USE_TBOOSTER","使用時間加成器"
"ID_Q_USE_TBOOSTER_CERTAIN","使用{0}小時時間加成器"
"ID_Q_OPEN_CASE_CERTAIN","開啟{0}"
"ID_Q_START_ECOBOOST","使用環保加成器"
"ID_Q_UPGRADE_IOBJECT","將{0} (#{1})升級至等級{2}"
"ID_Q_UPGRADE_PERS","升級任何人物"
"ID_Q_BUILD_IO","建造{0} (#{1})"
"ID_Q_COLLECT_INCOME_CERTAIN","從物品{0}處收集{1}次收入"
"ID_Q_COLLECT_SOFT_TOTAL","收穫{0}單位純能量"
"ID_Q_UPGTADE_PERS_CERTAIN","升級{0}"
"ID_Q_COLLECT_AIRDROPS","收集{0}次空艇獎勵"
"ID_Q_LAUNCH_RESEARCH","開始{0}次研發"
"ID_Q_USE_COFFEE","使用咖啡加成器"
"ID_CASES_TITLE","箱子"
"ID_CASE_SIMPLE","普通箱子"
"ID_CASE_STEEL","鋼鐵箱子"
"ID_CASE_GOLD","金箱子"
"ID_GEMS_TITLE","寶石"
"ID_GEMS_PACK_1","一小撮寶石"
"ID_GEMS_PACK_2","一把寶石"
"ID_GEMS_PACK_3","一包寶石"
"ID_GEMS_PACK_4","一箱寶石"
"ID_GEMS_PACK_5","一車寶石"
"ID_GEMS_PACK_6","一堆寶石"
"ID_BOOSTERS_TITLE","時間加成器"
"ID_BOOSTER_DESC_1","獎勵時間持續{0}小時"
"ID_BOOSTER_DESC_2","獎勵時間持續{0}小時"
"ID_ECOBOOST_TITLE","環保加成器"
"ID_ECOBOOST_DESC","4小時內獲得雙倍收入。效果時長最多可達12小時"
"ID_COFFEE_BOOST","咖啡加成器"
"ID_COFFEE_POP_TITLE","一杯咖啡"
"ID_COFFEE_POP_DESC","所有產業加速{0}秒"
"ID_DRINK","喝"
"ID_TIME","{0}小時.{1}分"
"ID_IO_TITLE_1","志願清潔工"
"ID_IO_TITLE_2","拖拉機"
"ID_IO_TITLE_3","河流過濾器"
"ID_IO_TITLE_4","分揀機"
"ID_IO_TITLE_5","垃圾分類"
"ID_IO_TITLE_6","森林"
"ID_IO_TITLE_7","玻璃熔煉爐"
"ID_IO_TITLE_8","溫室"
"ID_IO_TITLE_9","壓車機"
"ID_IO_TITLE_10","風力發電機"
"ID_IO_TITLE_11","空氣清新器"
"ID_IO_TITLE_12","自然保護區"
"ID_IO_TITLE_13","橡膠磨床"
"ID_IO_TITLE_14","熔煉廠"
"ID_IO_TITLE_15","3D打印機"
"ID_IO_TITLE_16","特斯拉車庫"
"ID_IO_TITLE_17","海洋農場"
"ID_IO_TITLE_18","浮動清潔機"
"ID_IO_TITLE_19","魚產房"
"ID_IO_TITLE_20","人工礁石"
"ID_IO_TITLE_21","電動浮標"
"ID_IO_TITLE_22","公園"
"ID_IO_TITLE_23","湖"
"ID_IO_TITLE_24","秋季樹林"
"ID_IO_TITLE_25","護林員的小屋"
"ID_IO_TITLE_26","單軌電車車站"
"ID_IO_TITLE_27","冰島"
"ID_IO_TITLE_28","冰山"
"ID_IO_DESC_1","今天就讓世界變得更加美好吧！從小事開始！
 啊，你沒看見那張包裝紙。給。"
"ID_IO_DESC_2","科技裝備將會幫我們更快的收集垃圾。
 拖拉機就是環保的，它有踏板。"
"ID_IO_DESC_3","在我們清潔環境之後，這條河里的魚終於不長觸手了。"
"ID_IO_DESC_4","把有價值的東西和沒價值的東西分開，這是回收的重要環節。
 你看！有枚硬幣！"
"ID_IO_DESC_5","玻璃—分揀，紙—分揀，塑料—分揀。"
"ID_IO_DESC_6","給動物一個家等於給人類氧氣吸。"
"ID_IO_DESC_7","我們在將舊玻璃熔煉成新玻璃。這個程序可以不斷循環。"
"ID_IO_DESC_8","在你的身旁種一年四季的新鮮水果。"
"ID_IO_DESC_9","可以把車壓成方塊。為什麼？因為它可以。而且這樣回收更容易。"
"ID_IO_DESC_10","能利用空氣發電！"
"ID_IO_DESC_11","可以把空氣中的雜質去除！"
"ID_IO_DESC_12","讓瀕危動物不那麼瀕危。"
"ID_IO_DESC_13","你可以用舊輪胎造許多東西。雖然燒了更有趣，但是這樣更實用。"
"ID_IO_DESC_14","你可以用舊的炸鍋造新的！"
"ID_IO_DESC_15","廢塑料被變廢為寶了。"
"ID_IO_DESC_16","電動車是未來的交通工具！"
"ID_IO_DESC_17","對人類好，對海洋生物好，對氣候也好。"
"ID_IO_DESC_18","清理海洋的最佳手段。"
"ID_IO_DESC_19","海洋生物圈也需要恢復。"
"ID_IO_DESC_20","為什麼？因為海洋神武也需要生存空間和食物來源！"
"ID_IO_DESC_21","直接從海浪中獲取電力的方法。"
"ID_IO_DESC_22","位於市中心的自然！空氣新鮮，還能提供遛狗的空間。"
"ID_IO_DESC_23","湖雖然小了點，但是其中的動植物種類繁多！想去喂天鵝嗎？"
"ID_IO_DESC_24","森林中的動物逃離了火險，現在是時候為冬季儲備蘑菇了。"
"ID_IO_DESC_25","這房子上有避雷針，這下它就不會在雷暴中起火了。"
"ID_IO_DESC_26","單軌電車是最環保、空間最大的快速交通工具。把那些冒著黑煙的巴士淘汰掉吧。"
"ID_IO_DESC_27","熊類又有新家園了。對全球變暖說“不”！"
"ID_IO_DESC_28","冰山不會繼續融化了。南極洲的冰川面積越大，全球的溫度就更穩定。"
"ID_BUILD","建造"
"ID_ERROR","錯誤"
"ID_ERROR_AD_DESC","請稍後重試"
"ID_OK","好"
"ID_DAILY_REWARDS_TITLE","每日獎勵"
"ID_DAY","日日"
"ID_R_U_SURE_EXIT","想在現實生活中改善這個世界嗎？"
"ID_GEMS","寶石"
"ID_CLEAN_ENERGY","純能量"
"ID_PERS_CARD","員工卡"
"ID_RENOVATION","現代化"
"ID_RECONSTRUCTION_DESС","所有物品都會被摧毀。你的員工將會留下，而他們的等級也會被保存。你的新物品的效率將是之前的兩倍！"
"ID_GO","確定"
"ID_LATER","後來"
"ID_GOOD","好"
"ID_OPEN_NEXT","開啟下一個"
"ID_YOUR_REWARD","你的獎勵"
"ID_WATCH_AD","觀看廣告"
"ID_QUEST_COMPLETE","任務完成"
"ID_LEVEL_10","等級10"
"ID_AUTOPLAY_ENABLED","自動遊玩
 已開啟"
"ID_INCOME","收入"
"ID_TUTOR_STEP_1","讓我們一起把這個星球的垃圾和污染清理乾淨吧！點擊這個區域來清理它。"
"ID_TUTOR_STEP_2","它已經變乾淨了不少！志願者也沒閒著。在他們的幫助下，我們獲得了純能量！點擊或者劃過工人來收集它。"
"ID_TUTOR_STEP_3","志願者還可以工作得更有效率！讓我們打開升級菜單并增加他們的等級吧。點擊“升級”圖標。"
"ID_TUTOR_STEP_4","升級物品可以使其收入上升。點擊物品面板來升級。"
"ID_TUTOR_STEP_5","當物品達到10級后，它就會自動開始工作了。你只需要收集純能量即可。點擊“升級”圖標來退出藍圖模式。"
"ID_TUTOR_STEP_6","現在我們有足夠的純能量來造第二個物品了。之後的收入會更多！"
"ID_TUTOR_STEP_7","棒極了！我們現在有足夠的純能量了。來造第二個物品吧。"
"ID_TUTOR_STEP_8","真不錯！繼續改善并建造新物品吧。我們的工作還有很多呢！"
"ID_TUTOR_HINT_9","這是任務菜單。你可以在這裡跟蹤進度。"
"ID_TUTOR_HINT_10","恭喜！你完成了你第一個任務！去任務菜單領取獎勵吧。任務是寶石和箱子的穩定來源。"
"ID_TUTOR_HINT_11","歡迎來到我們的遊戲商店！這些箱子里有許多高價值的寶物！"
"ID_TUTOR_HINT_12","這些是加成器。它們能夠讓時間倒流，讓你從物品中獲得更多收入。"
"ID_TUTOR_HINT_13","你可以在這裡啟用環保加成，讓所有物品的工作速度翻倍！"
"ID_TUTOR_HINT_14","太棒了！你獲得了你的第一張員工卡！員工可以加速物品的工作速度。讓我們開啟升級菜單來看看哪個物品工作更快吧。"
"ID_TUTOR_HINT_15","恭喜！你得到了足夠卡片，可以讓你的員工升至二級了！升級之後，物品的工作速度會翻倍。"
"ID_TUTOR_HINT_16","好極了！你已經達到了一個重要節點！物品的現代化將使你獲得更多純能量！"
"ID_TUTOR_HINT_17","這裡是研究菜單。你可以在這裡研發增加收入的研究項目。"
"ID_TUTOR_HINT_18","這是生命樹！幫它成長，它每長出一根枝條，你獲得的寶石就越多！"
"ID_SPEED","速度"
"ID_NOT_ENOUGH_ENERGY","能量不足"
"ID_NOT_ENOUGH_GEMS","寶石不足"
"ID_UPGRADE_CARD_DESC","升級至{0}級"
"ID_LOADING","讀取中..."
"ID_PURCHASE_QUESTION","購買嗎？"
"ID_PACKAGE","運送"
"ID_PUSH_COMEBACK","回來領取每日獎勵吧！"
"ID_PUSH_DAILY","我們正在清理這個星球，但是沒了你我們寸步難行！快回來吧！"
"ID_PUSH_TITLE_COMEBACK","我們需要幫助！"
"ID_PUSH_TITLE_DAILY","每日獎勵準備好了！"
"ID_RESEARCH","研究"
"ID_HOURS","小時"
"ID_RESEARCH_LAB_TITLE","實驗室"
"ID_RESEARCH_LAB_DESC","持續{0}小時"
"ID_RESEARCH_GEO_TITLE","地理"
"ID_RESEARCH_GEO_DESC","持續{0}小時"
"ID_RESEARCH_FIELD_TITLE","實地"
"ID_RESEARCH_FIELD_DESC","持續{0}小時"
"ID_RESEARCH_COMPLEX_TITLE","綜合"
"ID_RESEARCH_COMPLEX_DESC","持續{0}小時"
"ID_LAUNCH","開始"
"ID_PERS_CARD_TITLE","員工卡"
"ID_PERS_CARD_DESC","開啟箱子獲得員工卡"
"ID_IMPROVE","升級"
"ID_PERS_CARD_CHARS","物品：
 速度：
 收入："
"ID_UNLOCK_PERS","有新活動可用！
 “員工”"
"ID_UNLOCK_QUESTS","有新活動可用！
 “任務”"
"ID_UNLOCK_RESEARCH","有新活動可用！
 “研發”"
"ID_UNLOCK_ECOBOOST","有新活動可用！
 “環保加速器”"
"ID_UNLOCK_AIRDROP","有新活動可用！
 “空艇”"
"ID_UNLOCK_COFFEE","有新活動可用！
 “咖啡加速器”"
"ID_UNLOCK_GEM_TREE","有新活動可用！
 “生命樹”"
"ID_PUSH_RESEARCH","快回來領取獎勵吧"
"ID_PUSH_TITLE_RESEARCH","研發完成！"
"ID_Q_COLLECT_GEM_FRUITS","收集{0}個寶石果實"
"ID_GEM_TREE","生命樹"
"ID_JACKPOT","頭等獎"
"ID_NEW_LEVEL","新等級！"
"ID_LEVEL","水平"
"ID_INCOME_INCREASED","收入
 提高了！"
"ID_RATE_LIKE","你喜歡閒置環保點擊遊戲嗎？"
"ID_RATE_RATE","評價我們吧！"
"ID_RATE_NEVER_ASK","不要再提"
"ID_FORTUNE_TITLE","幸運輪"
"ID_FW_FREE_AVAILABLE","免費旋轉可用"
"ID_FW_ROTATE","旋轉"
"ID_CONGRADS","恭喜！"
"ID_FWR_YOU_GET","你贏得了："
"ID_FW_TIME_LEFT","距離下次免費旋轉還有"
"ID_INCOME_MULT","收入：<color=#B9FF58>{0}%</color>"
"ID_MODERN_SCORE","現代化分數：<color=#B9FF58>{0}</color>"
"ID_MINI_QUESTS","每日任務"
"ID_RESET_QUESTS","距離重置還有：{0}"
"ID_AD_RESET","重啟"
"ID_MOD_INCOME","當前收入："
"ID_MOD_SCORE","現代化分數："
"ID_MOD_SCORE_HINT","現代化分數"
"ID_INCOME_AFTER","現代化后收入"
"ID_MOD_SAVE","將會保存的項目：
 + 員工進度
  + 寶石 
  + 寶箱和省時物品
  + 研發進度"
"ID_MOD_LOST","將會丟失的項目：
  - 建築進度
  - 清潔能量
  - 環保加成"
"ID_MOD_DESCR","現代化會將現代化得分轉化成收入"
"ID_MOD_HINT_1","現代化得分可以通過物品的建造、升級、遊戲時間獲得。"
"ID_MOD_HINT_2","現代化將把現代化得分轉化為收入，使其提高。"
"ID_COMPLETED","已完成"
"ID_ACHIEVEMENTS","成就"
"ID_MOD_BUBBLE","是時候進行現代化了"
"ID_MOD_BUTTON_INC","收入 + {0}%"
"ID_RATE_SELECT_STARS","選擇星數"
"ID_RATE_APPLY","速度！"
"ID_GDPR_TITLE","请稍等！"
"ID_GDPR_DESC","在开始清理这颗星球之前，你必须接受我们的服务条款！"
"ID_GDPR_TERMS","阅读条款"
"ID_GDPR_APPLY","接受"
"ID_UPGRADE_FOR_AD_DESCR","獲得 +{0} 以升級 {1}"
"ID_ACTIVATE","啟用"
"ID_LOCKED_SCREEN_DESCR","打開位置 #{0}
構建每個對象
在位置 #{1} "
"ID_LOCKED_SCREEN_CAPTION","位置不可用 :( "
"ID_BACK","後退"
"ID_UNLOCKED_SCREEN_DESCR1","你清除了每個
位置 #{0} 的地塊！"
"ID_UNLOCKED_SCREEN_DESCR2","位置 #{0} 現已可用！
前面還有很多工作要做 "
"ID_TIME_EVENT_INFO_REWARDS_TITLE","REWARDS"
"ID_TIME_EVENT_INFO_REWARDS_MORE","MORE"
"ID_TIME_EVENT_INFO_DESCR","You've got a message
from an island nearby: ''We need your help! On our island
critical pollution level! Hurry up! ''
Well, duty is calling!"
"ID_TIME_EVENT_INFO_LAUNCH","BEGIN!"
"ID_TIME_EVENT_INFO_TIMER","ends in: {0}"
"ID_DAYS","d."
"ID_MINUTES","m."
"ID_TIME_EVENT_REWARDS_DESCR","Collect stars
by improving objects"
"ID_TIME_EVENT_RESULTS_TITLE","REWARDS"
"ID_TIME_EVENT_RESULTS_DESCR","event
ended!"
"ID_TIME_EVENT_RESULTS_COLLECT","COLLECT!"
"ID_TIMEBOOST_1h","Booster 1h"
"ID_TIMEBOOST_4h","Booster 4h"
"ID_TIMEBOOST_24h","Booster 24h"
"ID_TIMEEVENT_EXIT","EXIT"
"ID_TIMEEVENT_ENDSIN","Ends in:"
"ID_TIME_EVENT_INFO_TITLE","NEW EVENT!"
