"ID","VALUE"
"ID_YES","ใช่"
"ID_NO","ไม่"
"ID_THOUSANDS","พัน"
"ID_MILLIONS","mn."
"ID_BILLIONS","bn."
"ID_TRILLIONS","tn."
"ID_AA","a"
"ID_BB","b"
"ID_CC","c"
"ID_DD","d"
"ID_EE","e"
"ID_FF","f"
"ID_GG","g"
"ID_HH","h"
"ID_II","i"
"ID_JJ","j"
"ID_KK","k"
"ID_LL","l"
"ID_MM","m"
"ID_NN","n"
"ID_OO","o"
"ID_PP","p"
"ID_QQ","q"
"ID_RR","r"
"ID_SS","s"
"ID_TT","t"
"ID_UU","u"
"ID_VV","v"
"ID_WW","w"
"ID_XX","x"
"ID_YY","y"
"ID_ZZ","z"
"ID_COMEBACK","ยินดีต้อนรับการกลับมาของคุณ"
"ID_U_ABSENT","คุณได้หายไปเป็นเวลา"
"ID_U_OFFLINE_COLLECTED","ในช่วงเวลานี้วัตถุของคุณได้รับ"
"ID_GET","รับ"
"ID_WATCH","ดูโฆษณา"
"ID_TAB_RESEARCH","วิจัย"
"ID_TAB_RESEARCH_FULL","วิจัย"
"ID_TAB_RESEARCH_DESC","เริ่มต้นวิจัยเพื่อรับโบนัส"
"ID_TAB_UPGRADE","อัปเกรด"
"ID_TAB_QUESTS","ภารกิจ"
"ID_TAB_SHOP","ร้านค้า"
"ID_TAB_TREE","ต้นไม้"
"ID_SETTINGS","การตั้งค่า"
"ID_LANGUAGE","ภาษา"
"ID_LANGUAGE_TITLE","ไทย"
"ID_MUSIC","เพลง"
"ID_SFX","เสียง"
"ID_PRIVACY_POLICY","นโยบายความเป็นส่วนตัว"
"ID_SEC","วินาที"
"ID_QUESTS","ภารกิจ"
"ID_QUESTS_RENO_DESCR","ทำ {0} ภารกิจให้เสร็จสิ้นเพื่อให้สามารถทำให้ทันสมัยได้"
"ID_Q_COLLECT_SOFT","รวบรวม {0} พลังงานสะอาด"
"ID_Q_COLLECT_INCOME","รวบรวมรายได้จากวัตถุ {0} ครั้ง"
"ID_Q_OPEN_CASES","เปิดกระเป๋า {0} ใบ"
"ID_Q_USE_TBOOSTER","ใช้ตัวเพิ่มเวลา"
"ID_Q_USE_TBOOSTER_CERTAIN","ใช้ตัวเพิ่มเวลา {0} ชั่วโมง"
"ID_Q_OPEN_CASE_CERTAIN","เปิด {0}"
"ID_Q_START_ECOBOOST","ใช้การเพิ่มพลังแบบประหยัด"
"ID_Q_UPGRADE_IOBJECT","อัปเกรด {0} (#{1}) ไปที่ระดับ {2}"
"ID_Q_UPGRADE_PERS","อัปเกรดตัวละครใดก็ได้"
"ID_Q_BUILD_IO","สร้าง {0} (#{1})"
"ID_Q_COLLECT_INCOME_CERTAIN","รวบรวมรายได้จากวัตถุ {0} {1} ครั้ง"
"ID_Q_COLLECT_SOFT_TOTAL","รวบรวม {0} พลังงานสะอาด"
"ID_Q_UPGTADE_PERS_CERTAIN","อัปเกรด {0}"
"ID_Q_COLLECT_AIRDROPS","รวบรวมรางวัลเรือเหาะ {0} ครั้ง"
"ID_Q_LAUNCH_RESEARCH","เริ่มต้นวิจัย {0} ครั้ง"
"ID_Q_USE_COFFEE","ใช้การเพิ่มพลังด้วยกาแฟ"
"ID_CASES_TITLE","กระเป๋า"
"ID_CASE_SIMPLE","กระเป๋าแบบธรรมดา"
"ID_CASE_STEEL","กระเป๋าเหล็ก"
"ID_CASE_GOLD","กระเป๋าทอง"
"ID_GEMS_TITLE","อัญมณี"
"ID_GEMS_PACK_1","อัญมณีนิดหน่อย"
"ID_GEMS_PACK_2","อัญมณีหนึ่งหยิบมือ"
"ID_GEMS_PACK_3","ถุงอัญมณี"
"ID_GEMS_PACK_4","หีบอัญมณี"
"ID_GEMS_PACK_5","รถบรรทุกอัญมณี"
"ID_GEMS_PACK_6","กองอัญมณี"
"ID_BOOSTERS_TITLE","ตัวเพิ่มเวลา"
"ID_BOOSTER_DESC_1","กรอเวลากลับ {0} ชั่วโมง"
"ID_BOOSTER_DESC_2","กรอเวลากลับ {0} ชั่วโมง"
"ID_ECOBOOST_TITLE","การเพิ่มพลังแบบประหยัด"
"ID_ECOBOOST_DESC","เพิ่มรายได้สองเท่าเป็นเวลา 4 ชั่วโมง ผลลัพธ์จะขยายไปได้ถึง 12 ชั่วโมง"
"ID_COFFEE_BOOST","การเพิ่มพลังด้วยกาแฟ"
"ID_COFFEE_POP_TITLE","กาแฟหนึ่งแก้ว"
"ID_COFFEE_POP_DESC","วัตถุทั้งหมดสามารถเร่งความเร็วได้ {0} วินาที"
"ID_DRINK","ดื่ม"
"ID_TIME","{0} ชั่วโมง {1} นาที"
"ID_IO_TITLE_1","อาสาสมัครทำความสะอาด"
"ID_IO_TITLE_2","รถแทรกเตอร์"
"ID_IO_TITLE_3","เครื่องกรองแม่น้ำ"
"ID_IO_TITLE_4","เครื่องสกัด"
"ID_IO_TITLE_5","เครื่องแยกขยะ"
"ID_IO_TITLE_6","ป่า"
"ID_IO_TITLE_7","โรงหลอมแก้ว"
"ID_IO_TITLE_8","เรือนกระจก"
"ID_IO_TITLE_9","เครื่องบดรถยนต์"
"ID_IO_TITLE_10","เครื่องกำเนิดลม"
"ID_IO_TITLE_11","น้ำหอมปรับอากาศ"
"ID_IO_TITLE_12","เขตอนุรักษ์ธรรมชาติ"
"ID_IO_TITLE_13","เครื่องบดยาง"
"ID_IO_TITLE_14","โรงงานถลุง"
"ID_IO_TITLE_15","เครื่องพิมพ์ 3 มิติ"
"ID_IO_TITLE_16","โรงรถเทสลา"
"ID_IO_TITLE_17","ฟาร์มทะเล"
"ID_IO_TITLE_18","เรือเก็บขยะ"
"ID_IO_TITLE_19","โรงอนุบาลปลา"
"ID_IO_TITLE_20","แนวปะการังเทียม"
"ID_IO_TITLE_21","กระสวยไฟฟ้า"
"ID_IO_TITLE_22","สวน"
"ID_IO_TITLE_23","ทะเลสาบ"
"ID_IO_TITLE_24","ป่าฤดูใบไม้ร่วง"
"ID_IO_TITLE_25","บ้านพนักงานป่าไม้"
"ID_IO_TITLE_26","สถานีโมโนเรล"
"ID_IO_TITLE_27","เกาะน้ำแข็ง"
"ID_IO_TITLE_28","ภูเขาน้ำแข็ง"
"ID_IO_DESC_1","วันนี้ช่างเป็นวันที่ดีที่จะทำให้โลกน่าอยู่ขึ้น! เริ่มต้นจากสิ่งเล็ก ๆ!
 โอ้ คุณยังไม่ได้หยิบกระดาษห่อขนมที่อยู่ตรงนั้น"
"ID_IO_DESC_2","อุปกรณ์ทางเทคนิคจะช่วยให้เราเก็บขยะได้เร็วขึ้นมาก
 รถแทรกเตอร์นั้นเป็นมิตรกับสิ่งแวดล้อมและมีคันเหยียบ"
"ID_IO_DESC_3","ต้องขอบคุณการทำความสะอาดซึ่งทำให้ปลาในแม่น้ำนี้ไม่สกปรกอีกต่อไป"
"ID_IO_DESC_4","การแยกสิ่งมีค่าออกจากสิ่งที่เราไม่ต้องการเป็นขั้นตอนของการรีไซเคิลที่สำคัญมาก
 อ๊ะ! นั่นเหรียญ!"
"ID_IO_DESC_5","แก้ว - แยกไว้, กระดาษ - แยกไว้, พลาสติก - แยกไว้"
"ID_IO_DESC_6","บ้านมีไว้สำหรับสัตว์ ออกซิเจนมีไว้สำหรับคน"
"ID_IO_DESC_7","เรากำลังหลอมแก้วเก่าเพื่อทำให้เป็นแก้วใหม่ ซึ่งเราสามารถทำได้หลาย ๆ ครั้ง"
"ID_IO_DESC_8","ปลูกผักผลไม้สดตลอดทั้งปีให้อยู่ข้าง ๆ คุณ"
