"ID","VALUE"
"ID_YES","Evet"
"ID_NO","Hayır"
"ID_THOUSANDS","K"
"ID_MILLIONS","mn."
"ID_BILLIONS","bn."
"ID_TRILLIONS","tn."
"ID_AA","a"
"ID_BB","b"
"ID_CC","c"
"ID_DD","d"
"ID_EE","e"
"ID_FF","f"
"ID_GG","g"
"ID_HH","h"
"ID_II","i"
"ID_JJ","j"
"ID_KK","k"
"ID_LL","l"
"ID_MM","m"
"ID_NN","n"
"ID_OO","o"
"ID_PP","p"
"ID_QQ","q"
"ID_RR","r"
"ID_SS","s"
"ID_TT","t"
"ID_UU","u"
"ID_VV","v"
"ID_WW","w"
"ID_XX","x"
"ID_YY","y"
"ID_ZZ","z"
"ID_COMEBACK","Tekrar hoş geldin!"
"ID_U_ABSENT","Bir süredir yoktun:"
"ID_U_OFFLINE_COLLECTED","Bu süre boyunca ojelerinin kazandığı:"
"ID_GET","Al"
"ID_WATCH","İzle"
"ID_TAB_RESEARCH","Araştrm."
"ID_TAB_RESEARCH_FULL","Araştrm."
"ID_TAB_RESEARCH_DESC","Bonuslar almak için araştırma yapmaya başla"
"ID_TAB_UPGRADE","Yükselt"
"ID_TAB_QUESTS","Görevler"
"ID_TAB_SHOP","Mağaza"
"ID_TAB_TREE","Ağaç"
"ID_SETTINGS","Ayarlar"
"ID_LANGUAGE","Di̇l"
"ID_LANGUAGE_TITLE","Türkçe"
"ID_MUSIC","Müzik"
"ID_SFX","Sesler"
"ID_PRIVACY_POLICY","Gizlilik Politikası"
"ID_SEC","sn"
"ID_QUESTS","Görevler"
"ID_QUESTS_RENO_DESCR","Modernizasyonu mümkün kılmak için {0} görev tamamla"
"ID_Q_COLLECT_SOFT","{0} yeşil enerji topla"
"ID_Q_COLLECT_INCOME","{0} kez objelerden gelir topla"
"ID_Q_OPEN_CASES","{0} çanta aç"
"ID_Q_USE_TBOOSTER","Zaman güçleri kullan"
"ID_Q_USE_TBOOSTER_CERTAIN","{0} saat zaman gücü kullan"
"ID_Q_OPEN_CASE_CERTAIN","{0} aç"
"ID_Q_START_ECOBOOST","Çevreci Gücü Kullan"
